school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score
140304	Baton Elementary	PK-05	MA	05	ALL	FEM_WHTE	30	-	-	-	-	-	<5	-	-	-	-	17	56.7	18	60.0	
140304	Baton Elementary	PK-05	MA	05	ALL	MALE	34	4	11.8	10	29.4	3	8.8	14	41.2	3	8.8	17	50.0	20	58.8	
140304	Baton Elementary	PK-05	MA	05	ALL	MALE_WHTE	33	4	12.1	10	30.3	3	9.1	13	39.4	3	9.1	16	48.5	19	57.6	
140304	Baton Elementary	PK-05	MA	05	ALL	NOT_EDS	23	-	-	-	-	-	<5	-	-	-	-	13	56.5	14	60.9	
140304	Baton Elementary	PK-05	MA	05	ALL	NOT_LEP	68	9	13.2	20	29.4	4	5.9	24	35.3	11	16.2	35	51.5	39	57.4	
140304	Baton Elementary	PK-05	MA	05	ALL	NOT_SWD	58	3	5.2	16	27.6	4	6.9	24	41.4	11	19.0	35	60.3	39	67.2	
140304	Baton Elementary	PK-05	MA	05	ALL	SWD	10	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	
140304	Baton Elementary	PK-05	MA	05	ALL	WHTE	63	8	12.7	18	28.6	4	6.3	22	34.9	11	17.5	33	52.4	37	58.7	
140304	Baton Elementary	PK-05	MA	05	RG	AIG	9	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	461.2
140304	Baton Elementary	PK-05	MA	05	RG	AIG_MATH	7	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	461.3
140304	Baton Elementary	PK-05	MA	05	RG	AIG_READ	8	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	461.0
140304	Baton Elementary	PK-05	MA	05	RG	ALL	68	9	13.2	20	29.4	4	5.9	24	35.3	11	16.2	35	51.5	39	57.4	450.3
140304	Baton Elementary	PK-05	MA	05	RG	EDS	45	7	15.6	13	28.9	3	6.7	17	37.8	5	11.1	22	48.9	25	55.6	449.2
140304	Baton Elementary	PK-05	MA	05	RG	FEM	34	-	-	-	-	-	<5	-	-	-	-	18	52.9	19	55.9	450.9
140304	Baton Elementary	PK-05	MA	05	RG	FEM_WHTE	30	-	-	-	-	-	<5	-	-	-	-	17	56.7	18	60.0	451.8
140304	Baton Elementary	PK-05	MA	05	RG	MALE	34	4	11.8	10	29.4	3	8.8	14	41.2	3	8.8	17	50.0	20	58.8	449.7
140304	Baton Elementary	PK-05	MA	05	RG	MALE_WHTE	33	4	12.1	10	30.3	3	9.1	13	39.4	3	9.1	16	48.5	19	57.6	449.5
140304	Baton Elementary	PK-05	MA	05	RG	NOT_EDS	23	-	-	-	-	-	<5	-	-	-	-	13	56.5	14	60.9	452.4
140304	Baton Elementary	PK-05	MA	05	RG	NOT_LEP	68	9	13.2	20	29.4	4	5.9	24	35.3	11	16.2	35	51.5	39	57.4	450.3
140304	Baton Elementary	PK-05	MA	05	RG	NOT_SWD	58	3	5.2	16	27.6	4	6.9	24	41.4	11	19.0	35	60.3	39	67.2	452.3
140304	Baton Elementary	PK-05	MA	05	RG	SWD	10	-	-	-	-	-	<5	-	<5	-	<5	-	<5	-	<5	438.8
140304	Baton Elementary	PK-05	MA	05	RG	WHTE	63	8	12.7	18	28.6	4	6.3	22	34.9	11	17.5	33	52.4	37	58.7	450.6
140304	Baton Elementary	PK-05	MA	GS	ALL	AIG	23	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	GS	ALL	AIG_MATH	17	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
140304	Baton Elementary	PK-05	MA	GS	ALL	AIG_READ	16	-	<5	-	-	-	<5	-	-	-	-	15	93.8	15	93.8	
140304	Baton Elementary	PK-05	MA	GS	ALL	ALL	199	32	16.1	59	29.6	11	5.5	81	40.7	16	8.0	97	48.7	108	54.3	
140304	Baton Elementary	PK-05	MA	GS	ALL	EDS	120	23	19.2	38	31.7	7	5.8	45	37.5	7	5.8	52	43.3	59	49.2	
140304	Baton Elementary	PK-05	MA	GS	ALL	FEM	95	-	-	-	-	-	<5	-	-	-	-	48	50.5	50	52.6	
140304	Baton Elementary	PK-05	MA	GS	ALL	FEM_HISP	6	-	-	-	-	-	<5	-	-	-	<5	2	33.3	2	33.3	
140304	Baton Elementary	PK-05	MA	GS	ALL	FEM_WHTE	88	-	-	-	-	-	<5	-	-	-	-	46	52.3	48	54.5	
140304	Baton Elementary	PK-05	MA	GS	ALL	HISP	7	-	-	-	-	-	<5	-	-	-	<5	3	42.9	3	42.9	
