RegionName	LEACode	LEA Name	SchoolCode	School Name	CharterSchool	SchoolType	GradeSpan	TotalResident	# LowIncome	% LowIncome	SchoolServed	Eligibility -ProgramModel	EligibilityJustification	ProgramJustification	# StudentsServedTAS	GradesServedTAS	Served1st Year	Served1st YearComment	InEDDIE	SchoolYear
Region 1	150	Camden County Schools	150310	Camden Intermediate	N		04,05,06	457	159	34.79	N	Not Title I							Y	2014-2015
Region 1	150	Camden County Schools	150312	Camden Middle	N		07,08	302	100	33.11	N	Not Title I							Y	2014-2015
Region 1	150	Camden County Schools	150700	CamTech High	N		09,10,11,12	148	46	31.08	N	Not Title I							Y	2014-2015
Region 2	160	Carteret County Public Schools	160304	Atlantic Elementary	N		PK,0K,01,02,03,04,05,06,07,08	94	54	57.45	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160306	Bogue Sound Elementary	N		PK,0K,01,02,03,04,05	434	247	56.91	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160308	Beaufort Elementary	N		PK,0K,01,02,03,04,05	435	306	70.34	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160309	Bridges School	N		0K,01,02,03,04,05,06,07,08,09,10,11,12	32	25	78.13	Y	SW-SW					2014-2015		Y	2014-2015
Region 2	160	Carteret County Public Schools	160310	Beaufort Middle	N		06,07,08	271	151	55.72	N	SW							Y	2014-2015
Region 2	160	Carteret County Public Schools	160311	Broad Creek Middle	N		06,07,08	661	208	31.47	N	Not Title I							Y	2014-2015
Region 2	160	Carteret County Public Schools	160313	East Carteret High	N		09,10,11,12	555	228	41.08	N	SW							Y	2014-2015
Region 2	160	Carteret County Public Schools	160314	Croatan High	N		09,10,11,12	844	221	26.18	N	Not Title I							Y	2014-2015
Region 2	160	Carteret County Public Schools	160316	Harkers Island Elementary	N		0K,01,02,03,04,05,06,07,08	101	60	59.41	Y	SW-SW					2010-2011		Y	2014-2015
Region 2	160	Carteret County Public Schools	160317	Morehead Elem at Camp Glenn	N		04,05	284	151	53.17	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160318	Morehead City Middle	N		05,06,07,08	511	184	36.01	N	TAS							Y	2014-2015
Region 2	160	Carteret County Public Schools	160322	Morehead City Primary	N		PK,0K,01,02,03	616	342	55.52	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160324	Newport Elementary	N		PK,0K,01,02,03,04,05	744	471	63.31	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160326	Newport Middle	N		06,07,08	487	270	55.44	N	SW							Y	2014-2015
Region 2	160	Carteret County Public Schools	160332	Smyrna Elementary	N		PK,0K,01,02,03,04,05,06,07,08	313	180	57.51	Y	SW-SW					2006-2007		Y	2014-2015
Region 2	160	Carteret County Public Schools	160344	West Carteret High	N		09,10,11,12	1091	442	40.51	N	SW							Y	2014-2015
Region 2	160	Carteret County Public Schools	160352	White Oak Elementary	N		PK,0K,01,02,03,04,05	786	247	31.42	N	Not Title I							Y	2014-2015
Region 2	16B	Tiller School	16B000	Tiller School	Y		0K,01,02,03,04,05	188	47	25	Y	TAS-SW	Charter School	Always SW			2012-2013		Y	2014-2015
Region 5	170	Caswell County Schools	170316	Bartlett Yancey High	N		09,10,11,12	786	451	57.38	N	SW							Y	2014-2015
Region 5	170	Caswell County Schools	170334	North Elementary	N		PK,0K,01,02,03,04,05	441	382	86.62	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	170	Caswell County Schools	170338	N L Dillard Middle	N		06,07,08	731	477	65.25	N	SW							Y	2014-2015
Region 5	170	Caswell County Schools	170339	Oakwood Elementary	N		PK,0K,01,02,03,04,05	390	390	100	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	170	Caswell County Schools	170342	South Elementary	N		PK,0K,01,02,03,04,05	341	278	81.52	Y	SW-SW					2005-2006		Y	2014-2015
Region 5	170	Caswell County Schools	170344	Stoney Creek Elementary	N		0K,01,02,03,04,05	201	194	96.52	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	180	Catawba County Schools	180302	Harry M Arndt Middle	N		07,08	697	410	58.82	N	SW							Y	2014-2015
Region 7	180	Catawba County Schools	180304	Balls Creek Elementary	N		PK,0K,01,02,03,04,05,06	625	329	52.64	Y	SW-SW					2013-2014		Y	2014-2015
Region 7	180	Catawba County Schools	180308	Bandys High	N		09,10,11,12	863	276	31.98	N	Not Title I							Y	2014-2015
Region 7	180	Catawba County Schools	180312	Banoak Elementary	N		0K,01,02,03,04,05,06	315	194	61.59	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	180	Catawba County Schools	180316	Blackburn Elementary	N		0K,01,02,03,04,05,06	720	374	51.94	Y	SW-SW					2013-2014		Y	2014-2015
Region 7	180	Catawba County Schools	180320	Bunker Hill High	N		09,10,11,12	950	550	57.89	N	SW							Y	2014-2015
Region 7	180	Catawba County Schools	180323	Catawba Rosenwald Education Center	N		0K,01,02,03,04,05,06,07,08,09,10,11,12	45	36	80	N	SW							Y	2014-2015
Region 7	180	Catawba County Schools	180324	Catawba Elementary School	N		PK,0K,01,02,03,04,05,06	507	326	64.3	Y	SW-SW					2009-2010		Y	2014-2015
Region 7	180	Catawba County Schools	180325	Challenger Early College High	N		09,10,11,12,13	351	162	46.15	N	SW							Y	2014-2015
Region 7	180	Catawba County Schools	180326	Charles H Tuttle Elementary	N		0K,01,02,03,04,05,06	523	231	44.17	Y	SW-SW					2013-2014		Y	2014-2015
Region 7	180	Catawba County Schools	180332	Claremont Elementary	N		PK,0K,01,02,03,04,05,06	400	230	57.5	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	180	Catawba County Schools	180336	Clyde Campbell Elementary	N		0K,01,02,03,04,05,06	533	211	39.59	Y	TAS-SW		Always SW			2014-2015		Y	2014-2015
Region 7	180	Catawba County Schools	180340	Fred T Foard High	N		09,10,11,12	1013	364	35.93	N	TAS							Y	2014-2015
Region 7	180	Catawba County Schools	180342	Jacobs Fork Middle	N		07,08	525	223	42.48	N	SW							Y	2014-2015
Region 7	180	Catawba County Schools	180343	Lyle Creek Elementary	N		0K,01,02,03,04,05,06	519	357	68.79	Y	SW-SW					2006-2007		Y	2014-2015
