2015-16 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	SBE District	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Participation Denominator	Percent Participation	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	Passing      Math III Denominator	Passing Math III Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Hyde County Schools	480318	Mattamuskeet Early College High	Northeast Region	06-13	Y	C	60	D	54	F	35	Met	0.52	13	100.0	Y		20	45.0	17	58.8	37	86.5	36	88.9	31	>95	317	37.2	46.7	54	48.1	59.3	12	66.7	75.0	50	42.0	44.0										17	23.5	35.3	31	16.1	22.6	35	22.9	25.7										17	41.2	58.8	31	35.5	54.8	35	25.7	34.3				35	54.3	68.6
Iredell-Statesville Schools	490	Iredell-Statesville Schools	Southwest Region											83	88.0			1551	62.5	541	72.5	1605	>95	1825	86.4	1804	87.6	28016	50.8	59.8	2375	52.3	62.9	1902	47.3	55.8	1871	51.2	59.1	1551	49.3	62.9	1546	56.0	62.2	1555	55.4	61.7	1367	45.4	53.0	1657	45.1	51.4	1653	42.9	48.0	1549	48.3	58.0	1546	49.5	60.5	1555	43.3	55.4	1366	52.3	60.3	1659	50.0	61.2	1652	45.2	55.8	1557	62.8	71.2	1655	67.5	76.6
Iredell-Statesville Schools	490308	Brawley Middle	Southwest Region	06-08	Y	B	76	B	78	C	65	Exceeded	3.75	19	100.0													1831	63.4	72.1	69	>95	>95																211	52.6	63.5	277	50.2	57.8	262	55.3	61.8										211	67.8	75.4	277	63.9	75.1	262	63.4	75.2				262	80.5	88.2
Iredell-Statesville Schools	490310	Career Academy and Technical School	Southwest Region	06-12	Y	C	55							1	100.0			28	53.6	<10	*	<10	*	15	60.0	12	66.7	35	40.0	48.6	<10	*	*	13	15.4	15.4	11	63.6	90.9													<10	*	*	<10	*	*													<10	*	*	<10	*	*				<10	*	*
Iredell-Statesville Schools	490312	Celeste Henkel Elementary	Southwest Region	PK-05	Y	C	62	D	54	C	66	Exceeded	3.61	13	100.0													714	44.3	55.3										103	26.2	49.5	104	63.5	71.2	100	53.0	59.0										103	35.9	41.7	104	43.3	53.8	100	31.0	46.0										100	57.0	66.0			
Iredell-Statesville Schools	490316	Central Elementary	Southwest Region	PK-05	Y	B	81	B	76	B	83	Exceeded	2.24	8	100.0													424	72.4	80.2										66	80.3	89.4	50	70.0	76.0	64	75.0	82.8										66	71.2	80.3	50	62.0	68.0	64	59.4	70.3										64	85.9	90.6			
Iredell-Statesville Schools	490318	Coddle Creek Elementary	Southwest Region	PK-05	Y	B	77	B	74	B	80	Met	1.18	8	100.0													626	67.6	76.0										81	61.7	80.2	86	80.2	82.6	97	67.0	71.1										81	64.2	74.1	86	70.9	80.2	97	58.8	66.0										98	70.4	79.6			
Iredell-Statesville Schools	490319	Cloverleaf Elementary	Southwest Region	PK-05	Y	D	45	D	41	D	46	Met	0.4	16	100.0													780	28.8	36.2										108	21.3	32.4	123	30.1	38.2	106	30.2	36.8										108	25.0	30.6	123	30.9	35.0	106	25.5	31.1										106	38.7	49.1			
Iredell-Statesville Schools	490320	Collaborative College for Technology	Southwest Region	09-13	Y	A	95					Exceeded	3.38	12	100.0	Y	Y	49	87.8	<10	*	40	>95	43	>95	43	>95	155	87.7	>95	52	78.8	>95	50	>95	>95	53	86.8	>95																																										
Iredell-Statesville Schools	490324	Cool Spring Elementary	Southwest Region	PK-05	Y	B	79	B	71	B	81	Exceeded	5.73	8	100.0													456	64.7	75.4										73	60.3	74.0	67	67.2	71.6	59	81.4	88.1										72	56.9	66.7	67	56.7	70.1	59	52.5	67.8										59	81.4	93.2			
Iredell-Statesville Schools	490326	East Iredell Elementary	Southwest Region	PK-05	Y	C	55	D	50	C	60	Met	1.23	19	100.0													908	38.4	48.5										143	39.9	55.9	116	51.7	56.9	130	36.2	44.6										143	32.9	49.0	116	37.9	49.1	130	26.2	33.1										130	46.2	50.8			
Iredell-Statesville Schools	490327	East Iredell Middle	Southwest Region	06-08	Y	D	52	D	47	D	43	Exceeded	5.56	19	100.0		Y											1120	33.0	41.4	27	>95	>95																132	22.0	31.1	182	24.7	30.8	155	26.5	33.5										132	28.0	34.1	182	31.9	44.5	155	18.7	31.0				155	67.7	73.5
Iredell-Statesville Schools	490332	Harmony Elementary	Southwest Region	PK-05	Y	B	73	C	66	B	74	Exceeded	5.31	11	100.0													509	58.2	67.6										58	48.3	60.3	66	66.7	71.2	87	66.7	73.6										58	41.4	51.7	66	59.1	71.2	87	43.7	59.8										87	74.7	79.3			
Iredell-Statesville Schools	490335	Lake Norman High	Southwest Region	09-12	Y	B	83					Met	0.57	30	96.7	Y		411	83.0	138	86.2	470	>95	497	93.6	509	93.3	1437	64.1	73.9	481	67.8	79.0	488	58.6	68.9	468	66.0	73.9																																										
Iredell-Statesville Schools	490336	Lake Norman Elementary	Southwest Region	PK-05	Y	B	78	B	74	B	79	Met	-1.46	10	100.0													632	71.4	79.7										81	69.1	80.2	94	81.9	85.1	94	77.7	80.9										81	50.6	63.0	94	73.4	84.0	94	59.6	72.3										94	84.0	90.4			
Iredell-Statesville Schools	490337	Lakeshore Elementary	Southwest Region	PK-05	Y	B	74	B	71	B	73	Met	-0.34	12	100.0													874	61.2	72.4										124	60.5	70.2	136	61.0	71.3	118	61.9	70.3										124	60.5	72.6	136	56.6	67.6	118	57.6	71.2										118	71.2	84.7			
Iredell-Statesville Schools	490338	Lakeshore Middle	Southwest Region	06-08	Y	B	74	C	69	C	68	Exceeded	3.76	17	100.0													1255	60.8	70.0	55	>95	>95																128	54.7	60.2	181	56.9	65.2	195	55.9	63.6										127	59.8	68.5	181	52.5	64.6	193	48.7	63.7				195	83.1	90.8
Iredell-Statesville Schools	490342	Monticello School	Southwest Region	06-12	Y	N/A		N/A		N/A		NotMet	-8.06	12	50.0	N		<10	*	19	52.6	141	88.7	129	85.3	109	87.2	174	<5	9.2	33	<5	<5	29	<5	10.3	25	<5	12.0										<10	*	*	14	<5	<5	15	<5	<5										<10	*	*	14	<5	<5	15	<5	<5				15	13.3	33.3
Iredell-Statesville Schools	490344	Mount Mourne School	Southwest Region	06-08	Y	A+NG	95	A	94	A	94	Exceeded	3.15	14	100.0		Y											1135	92.3	>95	97	>95	>95																148	85.1	92.6	149	>95	>95	148	91.2	94.6										148	89.9	>95	149	91.9	>95	148	90.5	>95				148	>95	>95
Iredell-Statesville Schools	490345	N B Mills Elementary	Southwest Region	PK-05	Y	F	39	F	38	D	42	NotMet	-3.81	15	100.0													547	24.1	33.8										75	28.0	44.0	74	16.2	18.9	83	30.1	36.1										75	22.7	37.3	74	17.6	29.7	83	21.7	30.1										83	31.3	39.8			
Iredell-Statesville Schools	490346	North Iredell High	Southwest Region	09-12	Y	C	60					NotMet	-7.86	30	90.0	Y		237	50.2	119	65.5	208	>95	245	84.9	265	84.5	873	37.9	48.7	291	34.0	50.5	273	38.8	45.4	309	40.8	49.8																																										
Iredell-Statesville Schools	490347	Northview School	Southwest Region	06-08	Y	A+NG	88	A	88	A	86	NotMet	-2.54	16	100.0													966	85.8	92.8	107	81.3	94.4																143	86.7	91.6	126	88.9	94.4	107	79.4	85.0										143	88.1	91.6	126	84.1	93.7	107	81.3	91.6				107	>95	>95
Iredell-Statesville Schools	490348	Scotts Elementary	Southwest Region	PK-05	Y	C	56	C	61	D	53	NotMet	-2.44	11	100.0													477	41.9	53.0										77	42.9	58.4	68	35.3	44.1	62	46.8	48.4										77	40.3	54.5	68	41.2	55.9	62	38.7	54.8										63	49.2	54.0			
Iredell-Statesville Schools	490349	North Iredell Middle	Southwest Region	06-08	Y	C	57	C	55	D	49	Met	-1.53	17	100.0													1409	43.6	52.6	30	>95	>95																170	34.7	41.8	192	34.4	42.7	218	37.2	42.7										170	40.0	50.0	193	46.1	58.0	218	37.6	47.2				218	63.8	75.7
Iredell-Statesville Schools	490350	Pressly School	Southwest Region	0K-12	Y	N/A		N/A		N/A		NotMet	-4.13	2	0.0	N		<10	*			<10	*	<10	*	13	23.1	87	6.9	9.2	<10	*	*	13	<5	<5	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*
Iredell-Statesville Schools	490352	Statesville Middle	Southwest Region	06-08	Y	F	28	F	33	F	20	NotMet	-4.27	19	100.0													1024	12.4	20.0	<10	*	*																117	<5	6.8	148	8.1	10.8	161	<5	8.1										117	16.2	25.6	149	16.1	26.8	161	11.2	19.3				162	24.1	37.0
Iredell-Statesville Schools	490354	Statesville High	Southwest Region	09-12	Y	D	50					NotMet	-12.33	34	76.5	Y		195	38.5	67	55.2	206	>95	250	84.4	229	87.8	822	20.1	29.1	307	12.7	22.1	266	26.7	35.7	249	22.1	30.5																																										
Iredell-Statesville Schools	490355	Visual and Performing Arts Center	Southwest Region	09-13	Y	B	83					Met	1.84	12	100.0	Y		77	81.8	<10	*	52	>95	57	>95	46	>95	217	59.0	73.7	63	57.1	77.8	88	55.7	70.5	66	65.2	74.2																																										
Iredell-Statesville Schools	490356	Sharon Elementary	Southwest Region	PK-05	Y	C	66	C	66	C	66	Met	-0.36	8	100.0													362	52.2	63.0										50	54.0	66.0	59	59.3	62.7	48	54.2	62.5										50	54.0	64.0	59	50.8	71.2	48	41.7	50.0										48	50.0	62.5			
Iredell-Statesville Schools	490360	Shepherd Elementary	Southwest Region	PK-05	Y	C	67	B	71	C	64	NotMet	-3.18	11	100.0													613	58.1	67.2										89	60.7	71.9	87	62.1	66.7	87	50.6	57.5										89	69.7	74.2	87	59.8	71.3	87	50.6	62.1										87	52.9	66.7			
Iredell-Statesville Schools	490362	South Iredell High	Southwest Region	09-12	Y	B	74					Met	-1.88	37	94.6	Y	Y	349	65.3	98	77.6	306	94.4	343	88.9	296	89.2	1298	60.6	69.4	416	58.4	70.4	435	57.0	65.7	447	66.2	72.0																																										
Iredell-Statesville Schools	490363	Third Creek Elementary	Southwest Region	PK-05	Y	D	51	D	45	D	49	Exceeded	3.58	17	88.2													642	29.3	41.0										102	17.6	31.4	92	31.5	41.3	85	36.5	45.9										101	18.8	30.7	92	31.5	43.5	85	17.6	35.3										85	55.3	62.4			
Iredell-Statesville Schools	490364	Troutman Elementary	Southwest Region	PK-05	Y	C	62	D	53	C	65	Met	0.78	15	100.0													925	48.9	57.6										144	50.7	63.9	119	50.4	56.3	133	52.6	58.6										144	50.7	54.2	119	31.1	46.2	133	37.6	48.1										133	66.9	74.4			
Iredell-Statesville Schools	490366	Troutman Middle	Southwest Region	06-08	Y	D	52	D	54	D	44	NotMet	-5.92	15	100.0		Y											1026	39.4	50.3	27	81.5	85.2																119	36.1	45.4	156	37.2	47.4	149	28.9	30.9										119	38.7	51.3	156	37.8	52.6	150	34.0	46.7				150	54.7	70.7
Iredell-Statesville Schools	490368	Union Grove Elementary	Southwest Region	PK-05	Y	C	64	C	60	C	64	Met	0.14	9	100.0													284	49.6	59.5										37	48.6	64.9	54	51.9	55.6	34	52.9	61.8										37	43.2	56.8	54	44.4	50.0	34	47.1	61.8										34	61.8	73.5			
Iredell-Statesville Schools	490380	West Iredell High	Southwest Region	09-12	Y	C	55					NotMet	-3.92	25	92.0	Y		194	44.3	95	71.6	170	>95	201	81.6	237	88.6	756	27.9	36.2	274	17.9	27.4	247	35.2	42.5	235	31.9	40.0																																										
Iredell-Statesville Schools	490384	West Iredell Middle	Southwest Region	06-08	Y	C	55	D	54	D	45	Exceeded	6.62	18	100.0		Y											1555	36.1	44.6	22	>95	>95																189	28.0	37.0	225	29.3	34.7	235	26.8	30.6										189	33.9	43.9	225	36.9	48.0	235	35.7	46.0				235	54.0	65.1
Iredell-Statesville Schools	490390	Woodland Heights Elementary	Southwest Region	PK-05	Y	B	79	B	82	B	77	NotMet	-3.8	12	100.0													1068	74.9	83.7										139	77.7	87.1	149	71.8	79.9	164	74.4	78.7										139	80.6	87.8	149	73.8	83.2	164	64.6	81.1										164	82.3	89.0			
Mooresville City Schools	491	Mooresville City Schools	Southwest Region											67	97.0			423	72.6	131	79.4	393	>95	436	90.1	428	91.1	8241	61.3	70.0	680	64.6	74.6	468	62.8	69.7	452	63.9	72.1	512	68.0	78.9	484	66.3	73.3	454	67.8	72.7	465	66.7	72.7	485	49.1	55.7	463	51.0	56.8	511	59.1	70.1	484	57.0	68.6	455	52.5	64.6	465	64.9	72.9	484	53.5	64.0	463	49.0	58.7	455	74.5	82.9	461	70.9	79.6
Mooresville City Schools	491303	East Mooresville Intermediate	Southwest Region	04-06	Y	B	74	B	70	B	74	Met	0.44	20	100.0													1454	64.8	72.7													236	60.6	67.8	194	65.5	71.6	200	75.0	79.5										236	54.7	66.9	194	54.1	65.5	200	65.5	71.0							194	80.9	88.7			
Mooresville City Schools	491305	NF Woods Adv Tech and Arts Center	Southwest Region	09-12	Y	I										N																																																																	
Mooresville City Schools	491306	Mooresville Intermediate	Southwest Region	04-06	Y	B	71	B	70	B	73	NotMet	-2.8	22	100.0													1808	63.8	72.3													248	71.8	78.6	260	69.6	73.5	265	60.4	67.5										248	59.3	70.2	261	51.3	64.0	265	64.5	74.3							261	69.7	78.5			
Mooresville City Schools	491308	Mooresville Middle	Southwest Region	07-08	Y	C	64	C	62	C	57	NotMet	-4.25	26	100.0													2508	57.2	65.1	152	>95	>95																			485	49.1	55.7	463	51.0	56.8													484	53.5	64.0	463	49.0	58.7				461	70.9	79.6
Mooresville City Schools	491312	Mooresville Senior High	Southwest Region	09-12	Y	B	81					Exceeded	7.37	39	94.9	Y		423	72.6	131	79.4	393	>95	436	90.1	428	91.1	1448	60.4	69.7	528	55.3	67.6	468	62.8	69.7	452	63.9	72.1																																										
Mooresville City Schools	491316	Park View Elementary	Southwest Region	PK-03	Y	B	78	B	74	B	79	Exceeded	4.43	8	100.0													382	63.6	74.3										191	67.0	78.5																191	60.2	70.2																					
Mooresville City Schools	491318	Rocky River Elementary	Southwest Region	PK-03	Y	B	73	C	69	B	76	Met	-0.42	8	100.0													371	60.4	71.4										186	64.5	75.8																185	56.2	67.0																					
Mooresville City Schools	491320	South Elementary	Southwest Region	PK-03	Y	B	81	B	77	B	84	Exceeded	4.04	6	100.0													270	67.8	78.9										135	74.1	83.7																135	61.5	74.1																					
Jackson County Schools	500	Jackson County Schools	Western Region											57	93.0			267	54.3	72	68.1	266	94.0	301	86.7	272	86.4	4854	43.8	54.3	387	43.7	59.4	376	43.4	51.6	274	51.1	56.9	294	37.1	51.4	255	40.4	47.1	280	40.0	49.6	234	39.7	47.4	286	32.2	40.6	280	34.6	44.3	294	40.8	50.0	255	40.8	53.7	280	36.4	48.6	234	46.2	53.4	286	49.7	65.7	280	43.9	56.1	280	54.6	63.6	279	70.6	80.6
Jackson County Schools	500302	Blue Ridge Early College	Western Region	07-13	Y	C	58	B	71	D	43	Met	-1.38	9	100.0	N	Y	35	45.7	<10	*	22	>95	28	>95	20	95.0	254	29.5	46.5	44	18.2	45.5	54	25.9	40.7	17	17.6	23.5													29	34.5	37.9	27	18.5	29.6													29	44.8	79.3	27	37.0	55.6				27	44.4	55.6
Jackson County Schools	500304	Cullowhee Valley School	Western Region	0K-08	Y	C	64	C	58	C	59	Exceeded	3.81	15	100.0		Y											864	47.9	57.4	12	>95	>95							79	36.7	48.1	63	42.9	49.2	62	64.5	69.4	57	47.4	56.1	50	36.0	52.0	56	33.9	39.3	79	45.6	54.4	63	34.9	42.9	62	51.6	64.5	57	38.6	45.6	50	44.0	58.0	56	33.9	46.4	62	79.0	83.9	56	71.4	87.5
Jackson County Schools	500314	Fairview Elementary	Western Region	0K-08	Y	C	62	C	66	D	53	Met	-1.98	15	100.0		Y											1246	50.1	60.2	26	80.8	92.3							80	43.8	60.0	82	48.8	53.7	95	38.9	52.6	69	49.3	53.6	97	38.1	44.3	93	32.3	37.6	80	47.5	58.8	82	53.7	65.9	95	38.9	52.6	69	60.9	66.7	97	63.9	76.3	93	47.3	57.0	95	62.1	75.8	93	68.8	78.5
Jackson County Schools	500316	Blue Ridge School	Western Region	0K-06	Y	D	49	D	52	D	50	NotMet	-2.58	6	100.0		Y											206	29.1	44.7										27	48.1	63.0	28	28.6	46.4	20	20.0	35.0	18	22.2	33.3							27	25.9	40.7	28	28.6	60.7	20	25.0	45.0	18	27.8	27.8							20	30.0	35.0			
Jackson County Schools	500323	Jackson Co Early College	Western Region	09-13	Y	A	86					Met	-1.98	7	100.0	N		32	87.5	<10	*	35	>95	37	>95	24	>95	88	63.6	73.9	35	42.9	65.7	33	69.7	72.7	20	90.0	90.0																																										
Jackson County Schools	500324	Jackson Co Sch of Alternatives	Western Region	0K-12	Y	N/A		N/A		N/A		NotMet	-5.59	3	100.0	N		<10	*	<10	*	40	72.5	40	67.5	33	51.5	150	12.7	16.7	23	<5	8.7	33	<5	<5	25	20.0	20.0	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*	<10	*	*
Jackson County Schools	500332	Scotts Creek Elementary	Western Region	0K-08	Y	C	61	C	57	C	57	Met	1.27	13	100.0		Y											745	45.1	55.0	14	92.9	>95							61	41.0	57.4	42	40.5	47.6	49	30.6	38.8	39	38.5	48.7	69	27.5	40.6	54	51.9	61.1	61	45.9	52.5	42	45.2	50.0	49	24.5	34.7	39	38.5	48.7	69	46.4	63.8	54	51.9	66.7	49	36.7	42.9	54	>95	>95
Jackson County Schools	500337	Smokey Mountain Elementary	Western Region	0K-08	Y	D	51	D	52	D	45	Met	-0.97	14	100.0		Y											608	34.7	45.2	<10	*	*							44	15.9	29.5	34	26.5	29.4	48	31.3	39.6	47	27.7	36.2	36	19.4	19.4	45	31.1	53.3	44	25.0	31.8	34	26.5	44.1	48	31.3	39.6	47	51.1	61.7	36	30.6	44.4	45	44.4	55.6	48	43.8	52.1	44	61.4	77.3
Jackson County Schools	500340	Smoky Mountain High	Western Region	09-12	Y	B	71					Exceeded	2.66	23	91.3	N	Y	195	51.8	57	70.2	169	>95	194	87.1	190	91.6	693	47.9	58.2	225	40.9	56.4	256	49.2	57.4	212	53.8	60.8																																										
Johnston County Schools	510	Johnston County Schools	North Central Region											87	100.0			2240	64.3	1120	80.6	2271	>95	2465	90.1	2326	90.6	47019	49.1	59.2	3542	52.7	65.3	2726	51.2	59.0	2673	52.1	61.6	2713	49.9	63.3	2730	48.8	56.2	2663	51.1	57.9	2595	39.5	48.1	2841	40.7	48.0	2778	39.0	45.5	2713	48.6	60.3	2729	45.3	58.8	2663	43.3	56.3	2595	50.4	60.6	2841	49.8	61.7	2779	42.2	54.8	2660	60.8	70.2	2778	67.8	76.4
Johnston County Schools	510308	Benson Elementary	North Central Region	PK-04	Y	C	59	C	57	C	61	Met	1.91	14	100.0													500	37.2	52.6										128	36.7	57.0	122	37.7	50.8													128	42.2	53.9	122	32.0	48.4																		
Johnston County Schools	510310	Benson Middle	North Central Region	05-08	Y	D	54	C	58	D	44	NotMet	-2.9	21	100.0													1112	39.7	50.9	29	79.3	>95													113	38.9	46.9	107	25.2	35.5	127	29.9	37.8	92	28.3	38.0							113	28.3	43.4	107	36.4	48.6	127	44.1	58.3	92	45.7	58.7	113	48.7	61.1	92	64.1	71.7
Johnston County Schools	510324	Clayton High	North Central Region	09-12	Y	B	70					NotMet	-4.36	41	100.0	N		330	66.4	198	82.3	335	>95	358	92.7	347	90.5	1274	49.1	59.6	422	44.1	56.2	424	47.6	57.5	428	55.4	65.0																																										
Johnston County Schools	510326	West Clayton Elementary	North Central Region	PK-05	Y	C	65	C	66	C	61	Met	-1.34	20	100.0													1052	51.2	62.6										157	49.7	66.9	146	48.6	55.5	149	51.7	59.1										157	55.4	67.5	146	44.5	58.9	149	47.7	58.4										148	60.8	71.6			
Johnston County Schools	510327	Cleveland High	North Central Region	09-12	Y	B	75					Met	-1.47	40	100.0	N		347	72.9	180	78.3	380	>95	397	94.0	300	91.7	1384	54.6	64.8	445	56.0	67.2	535	52.5	60.6	404	55.9	67.8																																										
Johnston County Schools	510328	Cleveland Elementary	North Central Region	PK-05	Y	B	79	B	74	B	80	Met	-0.28	18	100.0													1023	71.7	78.9										124	75.8	81.5	149	66.4	70.5	159	81.1	87.4										124	70.2	80.6	149	63.1	72.5	159	57.9	70.4										159	86.8	89.3			
Johnston County Schools	510329	Cleveland Middle	North Central Region	06-08	Y	B	78	B	73	B	72	Exceeded	4.39	26	100.0													2848	66.5	75.4	162	>95	>95																386	62.7	71.8	390	59.7	68.5	378	60.6	69.3										386	65.3	72.8	390	67.7	78.7	378	49.7	65.9				378	87.0	91.0
Johnston County Schools	510330	Cooper Elementary	North Central Region	PK-05	Y	D	46	D	50	D	45	NotMet	-3.63	15	100.0													725	31.3	42.2										115	31.3	49.6	99	28.3	33.3	99	28.3	37.4										115	40.9	47.8	99	27.3	40.4	99	28.3	39.4										99	33.3	45.5			
Johnston County Schools	510332	Corinth-Holders Elementary	North Central Region	PK-05	Y	C	65	C	62	C	62	Met	0.11	18	100.0													708	53.1	61.4										113	54.0	62.8	112	54.5	58.0	86	57.0	60.5										113	43.4	54.9	112	42.9	58.0	86	47.7	57.0										86	77.9	82.6			
Johnston County Schools	510333	Corinth Holders High	North Central Region	09-12	Y	B	81					Exceeded	7.55	41	95.1	N		361	71.2	195	82.6	349	>95	377	93.9	360	93.3	1525	58.2	68.7	528	48.7	63.6	510	60.6	68.0	487	66.1	74.7																																										
Johnston County Schools	510334	Dixon Road Elementary	North Central Region	PK-05	Y	C	66	C	63	C	66	NotMet	-2.59	13	100.0													669	52.3	66.1										95	54.7	78.9	103	56.3	62.1	91	40.7	53.8										95	56.8	67.4	103	41.7	55.3	91	47.3	63.7										91	69.2	82.4			
Johnston County Schools	510336	East Clayton Elementary	North Central Region	PK-05	Y	C	66	C	67	C	61	Met	-1.9	16	100.0													685	53.9	64.7										105	41.9	54.3	95	56.8	60.0	95	52.6	61.1										105	41.0	56.2	95	54.7	69.5	95	60.0	71.6										95	72.6	82.1			
Johnston County Schools	510340	Four Oaks Elementary	North Central Region	PK-05	Y	C	58	C	57	C	55	Met	0.09	19	100.0													1273	41.1	52.0										193	43.0	54.9	163	39.9	49.1	187	38.5	46.0										193	50.3	59.6	163	36.8	48.5	187	29.4	44.4										187	48.7	60.4			
Johnston County Schools	510342	Four Oaks Middle	North Central Region	06-08	Y	C	61	C	62	D	49	Exceeded	3.53	22	100.0													1227	44.0	53.5	30	90.0	>95																144	47.9	54.9	180	33.9	36.7	183	22.4	31.1										144	49.3	63.2	180	43.9	57.8	183	38.8	50.8				183	66.1	74.3
Johnston County Schools	510344	North Johnston Middle	North Central Region	06-08	Y	D	47	D	46	F	39	NotMet	-3.94	21	100.0													1367	35.2	43.5	30	>95	>95																186	24.7	29.6	196	29.6	36.7	191	27.2	33.5										186	32.3	46.2	196	30.6	41.3	191	31.9	40.3				191	59.7	67.5
Johnston County Schools	510356	Glendale-Kenly Elementary	North Central Region	PK-05	Y	C	64	C	67	C	61	NotMet	-3.83	17	100.0													697	55.2	65.3										95	76.8	85.3	104	40.4	48.1	100	50.0	58.0										95	62.1	74.7	103	52.4	65.0	100	37.0	52.0										100	70.0	76.0			
Johnston County Schools	510357	Johnston Co Middle College	North Central Region	10-12	Y	A	97							4	100.0	N		66	92.4	11	90.9	54	>95	54	>95	74	>95	<10	*	*				<10	*	*																																													
Johnston County Schools	510358	McGees Crossroads Elem	North Central Region	PK-05	Y	C	68	C	65	C	69	Exceeded	5.24	19	100.0													991	51.2	62.3										155	49.0	58.1	144	48.6	57.6	131	65.6	71.0										155	45.2	61.3	144	44.4	60.4	131	48.1	58.0										131	59.5	71.0			
Johnston County Schools	510359	McGees Crossroads Middle	North Central Region	06-08	Y	C	64	C	65	D	54	Exceeded	5.55	28	100.0													2052	47.9	57.2	56	>95	>95																262	40.5	51.1	301	33.9	41.5	290	42.4	46.9										262	45.0	55.0	301	50.5	62.1	290	48.3	59.7				290	64.1	75.2
Johnston County Schools	510360	Meadow School	North Central Region	PK-08	Y	C	66	C	61	C	63	Exceeded	3.56	16	100.0													1028	49.7	60.4	24	>95	>95							77	37.7	57.1	70	38.6	44.3	73	64.4	71.2	68	41.2	48.5	65	47.7	63.1	75	48.0	53.3	77	42.9	53.2	70	42.9	50.0	73	46.6	60.3	68	45.6	60.3	65	47.7	61.5	75	38.7	50.7	73	68.5	76.7	75	68.0	81.3
Johnston County Schools	510364	Archer Lodge Middle	North Central Region	06-08	Y	C	63	C	64	D	54	Met	-1.04	26	100.0													2507	50.6	60.4	86	84.9	>95																327	37.6	46.5	366	48.1	55.7	345	34.5	43.2										327	59.0	68.2	366	48.9	61.5	345	44.1	56.8				345	73.6	82.0
Johnston County Schools	510367	Johnston Co Early College Academy	North Central Region	09-13	Y	A	93					Exceeded	3.97	9	100.0	N		42	92.9			48	>95	47	>95	53	>95	175	85.7	90.9	56	82.1	92.9	72	83.3	86.1	47	93.6	>95																																										
Johnston County Schools	510368	North Johnston High	North Central Region	09-12	Y	C	66					Met	1.6	29	96.6	N		184	58.2	85	83.5	141	85.1	165	86.7	176	90.3	650	35.1	47.5	275	24.4	41.8	189	41.3	50.8	186	44.6	52.7																																										
