year	unit_code	szip_ad	type_cd	closed_ind	new_ind	category_cd	grade_range_cd	calendar_type_txt	sna_pgm_type_cd	school_type_txt	calendar_only_txt	title1_type_cd	clp_ind	focus_clp_ind	summer_program_ind	asm_no_spg_ind	no_data_spg_ind	esea_status	student_num	lea_avg_student_num	st_avg_student_num	Grad_project_status	stem
2016	410313	27406	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							720	681	634		
2016	410316	27406	P	0	0	M	6-8	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							652	681	634		
2016	410319	27265	P	0	0	H	9-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y	Y					P	841	812	860	N	
2016	410322	27407	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							407	472	493		
2016	410325	27405	P	0	0	M	6-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y						F	611	681	634		
2016	410326	27406	P	0	0	H	9-12	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar								104	812	860	N	
2016	410328	27405	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							479	472	493		
2016	410331	27401	P	0	0	E	K-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							293	472	493		
2016	410334	27405	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						F	590	472	493		
2016	410337	27408	P	0	0	E	K-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								409	472	493		
2016	410340	27214	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							371	472	493		
2016	410341	27214	P	0	0	M	6-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								240	681	634		
2016	410343	27410	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								607	472	493		
2016	410346	27235	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								603	472	493		
2016	410349	27405	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							488	472	493		
2016	410355	27401	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y	Y					F	1351	812	860	N	
2016	410358	27249	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1134	812	860	N	
2016	410361	27405	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								290	472	493		
2016	410364	27260	P	0	0	E	PK-5	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							392	472	493		
2016	410366	27401	P	0	0	E	PK-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y							546	472	493		
2016	410367	27262	P	0	0	M	6-8	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar	Y						F	740	681	634		
2016	410370	27265	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								683	472	493		
2016	410373	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							345	472	493		
2016	410376	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							296	472	493		
2016	410379	27405	P	1	0	A	PK-12	Special Education, Traditional Calendar	S	Special Education	Traditional Calendar					Y			58	140	511	N	
2016	410382	27249	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								463	472	493		
2016	410385	27406	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							258	472	493		
2016	410388	27408	P	0	0	E	K-5	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								504	472	493		
2016	410390	27401	P	0	0	H	11-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								119	812	860	N	
2016	410391	27260	P	0	0	T	6-12	Magnet School, Traditional Calendar	M	Magnet School	Traditional Calendar								633	237	268	N	
