2016-17 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
An * or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	State Board District	Grade Span	Title I School	School Performance Grade (SPG)	SPG Score	Reading SPG	Reading SPG Score	Math SPG	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Number of Participation Targets	Percent Participation Targets Met	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WOrkKeys Percent	Passing NC Math 3 Denominator	Passing NC Math 3 Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	NC Math 1 Denominator	NC Math 1 Percent College/Career Ready	NC Math 1 Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Alamance-Burlington Schools	010358	Hillcrest Elementary	Piedmont Triad	PK-05	Y	F	34	F	37	F	34	NotMet	-8.53	15	100.0													719	21.6	29.8										116	30.2	40.5	98	15.3	21.4	97	17.5	21.6										116	25.0	37.1	98	16.3	24.5	97	21.6	30.9										97	22.7	28.9			
Alamance-Burlington Schools	010360	Hugh M Cummings High	Piedmont Triad	09-12		C	65					Exceeded	17.19	32	96.9	N		191	26.7	68	79.4	146	91.8	211	70.1	218	74.8	695	40.0	49.6	244	25.0	36.9	216	65.3	75.0	235	32.3	39.6																																										
Alamance-Burlington Schools	010362	Marvin B Smith Elementary	Piedmont Triad	PK-05		B	78	B	74	B	78	Exceeded	3.49	15	100.0													593	65.4	75.2										86	80.2	84.9	92	55.4	66.3	79	68.4	77.2										86	65.1	77.9	92	52.2	63.0	79	59.5	74.7										79	79.7	84.8			
Alamance-Burlington Schools	010364	North Graham Elementary	Piedmont Triad	PK-05	Y	D	51	D	46	C	55	Met	-0.48	14	100.0													476	36.6	44.7										73	50.7	61.6	67	20.9	25.4	65	53.8	56.9										73	37.0	47.9	68	17.6	27.9	65	33.8	41.5										65	41.5	50.8			
Alamance-Burlington Schools	010372	Pleasant Grove Elementary	Piedmont Triad	PK-05	Y	C	59	C	60	C	55	Met	-1.2	10	100.0													302	48.3	55.6										47	72.3	76.6	35	28.6	28.6	46	39.1	43.5										47	61.7	72.3	35	25.7	40.0	46	37.0	50.0										46	63.0	67.4			
Alamance-Burlington Schools	010374	R Homer Andrews Elementary	Piedmont Triad	PK-05	Y	D	48	D	47	D	47	Met	-1.85	14	100.0													682	33.9	42.2										99	35.4	43.4	98	23.5	33.7	96	41.7	45.8										99	34.3	40.4	98	28.6	37.8	96	28.1	40.6										96	45.8	54.2			
Alamance-Burlington Schools	010378	Ray Street Academy	Piedmont Triad	0K-12		N/A		N/A		N/A		NotMet	-4.24	6	100.0	N		10	<5					12	<5	11	<5	172	6.4	11.6	11	9.1	9.1	15	13.3	20.0	19	5.3	15.8	<10	*	*	<10	*	*	<10	*	*	<10	*	*	18	5.6	11.1	22	<5	<5	<10	*	*	<10	*	*	<10	*	*	<10	*	*	18	11.1	11.1	22	<5	<5	<10	*	*	22	18.2	31.8
Alamance-Burlington Schools	010380	South Graham Elementary	Piedmont Triad	PK-05	Y	D	42	D	42	D	46	NotMet	-2.34	17	100.0													637	24.8	34.9										102	34.3	49.0	89	27.0	33.7	85	24.7	29.4										102	26.5	38.2	89	28.1	42.7	85	14.1	22.4										85	16.5	24.7			
Alamance-Burlington Schools	010384	South Mebane Elementary	Piedmont Triad	PK-05		B	71	C	67	B	73	Exceeded	5.05	20	100.0													757	57.5	66.3										103	54.4	66.0	118	59.3	61.9	105	73.3	75.2										103	56.3	68.0	118	47.5	59.3	105	45.7	61.9										105	66.7	73.3			
Alamance-Burlington Schools	010388	Southern High	Piedmont Triad	09-12		C	69					Met	1.7	34	94.1	N		352	52.8	166	69.9	327	91.7	380	84.5	415	83.6	1254	43.8	55.5	418	39.0	52.4	431	46.4	56.4	405	45.9	57.8																																										
Alamance-Burlington Schools	010390	Southern Middle	Piedmont Triad	06-08		C	64	C	59	C	61	Met	-0.29	21	100.0													1819	52.2	60.5	68	>95	>95																253	44.7	53.0	249	45.4	54.2	249	55.4	61.4										253	49.8	59.3	249	41.8	50.2	249	43.8	54.6				249	71.5	79.9
Alamance-Burlington Schools	010392	Sylvan Elementary	Piedmont Triad	PK-05	Y	C	61	C	56	C	61	Met	-0.19	8	100.0													357	44.0	56.0										60	53.3	61.7	54	44.4	50.0	43	48.8	55.8										60	41.7	55.0	54	31.5	44.4	43	34.9	51.2										43	53.5	76.7			
Alamance-Burlington Schools	010394	Turrentine Middle	Piedmont Triad	06-08	Y	D	46	D	51	F	37	NotMet	-7.54	26	100.0													1836	36.2	43.8	61	>95	>95																252	26.6	36.9	218	26.1	30.3	279	23.3	28.7										252	42.1	50.8	218	40.8	48.2	279	32.6	41.2				277	46.9	57.0
Alamance-Burlington Schools	010396	Walter M Williams High	Piedmont Triad	09-12		B	72					Exceeded	7.63	40	92.5	N		253	51.4	155	70.3	278	93.5	309	90.3	264	89.8	910	39.7	53.0	275	35.6	50.2	316	36.4	47.2	319	46.4	61.1																																										
Alamance-Burlington Schools	010400	Western Alamance High	Piedmont Triad	09-12		C	66					NotMet	-5.9	38	92.1	N		316	56.3	134	60.4	297	>95	319	91.8	308	88.0	952	46.7	56.6	341	47.8	59.8	312	43.3	51.6	299	49.2	58.2																																										
Alamance-Burlington Schools	010403	Western Middle	Piedmont Triad	06-08		B	70	C	66	C	64	Exceeded	5.85	24	100.0													2225	56.0	63.8	114	>95	>95																295	49.8	58.6	303	45.2	52.1	305	54.8	58.0										295	55.6	65.1	303	52.8	59.7	305	47.5	61.6				305	70.2	77.7
Alamance-Burlington Schools	010406	Woodlawn Middle	Piedmont Triad	06-08		B	72	C	67	C	69	Exceeded	4.49	25	100.0													1309	59.4	66.8	52	>95	>95																164	72.0	78.7	166	51.8	57.2	199	52.8	57.3										164	59.8	68.3	166	56.6	66.3	200	45.0	54.0				198	68.2	78.3
Alexander County Schools	020	Alexander County Schools	Northwest											60	100.0			359	65.2	216	66.7	332	93.7	384	86.2	386	86.3	6623	50.2	60.5	464	52.2	62.7	360	46.7	56.1	353	46.2	55.8	392	60.7	71.9	411	65.0	71.5	405	56.3	64.0	410	39.3	46.8	340	44.1	47.6	375	38.4	44.8	392	52.3	64.3	411	46.5	60.1	405	38.0	54.6	410	48.0	60.2	340	45.6	53.8	375	36.8	51.7	405	64.9	76.3	375	69.3	81.3
