2016-17 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
An * or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	State Board District	Grade Span	Title I School	School Performance Grade (SPG)	SPG Score	Reading SPG	Reading SPG Score	Math SPG	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Number of Participation Targets	Percent Participation Targets Met	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WOrkKeys Percent	Passing NC Math 3 Denominator	Passing NC Math 3 Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	NC Math 1 Denominator	NC Math 1 Percent College/Career Ready	NC Math 1 Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
Madison County Schools	570312	Hot Springs Elementary	Western	0K-05	Y	B	82	B	80	B	81	Exceeded	3	6	100.0		Y											147	60.5	81.0										24	54.2	79.2	18	88.9	88.9	21	61.9	71.4										24	54.2	79.2	18	50.0	83.3	21	38.1	76.2										21	81.0	90.5			
Madison County Schools	570317	Madison Early College High	Western	09-13		A	88					Exceeded	3.63	11	100.0	N	Y	41	82.9	<10	*	39	>95	41	90.2	49	>95	153	76.5	86.3	53	69.8	81.1	42	85.7	90.5	58	75.9	87.9																																										
Madison County Schools	570318	Madison High	Western	09-12		C	66					NotMet	-2.5	19	94.7	N	Y	132	56.8	94	56.4	134	>95	159	87.4	164	82.9	425	39.1	51.8	172	32.6	41.3	119	49.6	63.9	134	38.1	54.5																																										
Madison County Schools	570319	Madison Middle	Western	06-08		C	61	C	59	C	55	NotMet	-2.09	13	100.0		Y											1281	49.3	58.8	25	>95	>95																162	48.8	58.6	178	42.1	50.0	192	38.5	44.3										162	49.4	61.1	178	52.8	61.8	192	39.6	50.0				192	67.2	80.2
Madison County Schools	570320	Mars Hill Elementary	Western	0K-05	Y	B	78	B	72	B	78	Exceeded	4.44	9	100.0		Y											531	64.0	75.0										79	69.6	84.8	71	56.3	62.0	77	70.1	76.6										79	63.3	70.9	71	42.3	62.0	77	59.7	74.0										77	84.4	92.2			
Martin County Schools	580	Martin County Schools	Northeast											54	96.3			178	59.0	113	75.2	205	>95	246	82.1	236	78.4	4277	34.4	45.5	255	41.2	51.0	230	24.3	33.9	207	38.6	55.6	297	38.7	49.8	274	39.1	47.8	275	39.3	47.3	207	24.6	32.4	244	16.8	21.3	239	29.7	37.7	298	29.2	40.6	274	35.0	47.4	275	30.5	43.6	207	35.3	49.3	244	37.3	47.5	240	29.6	47.9	274	38.3	53.3	237	55.3	65.8
Martin County Schools	580308	Williamston Primary	Northeast	PK-02	Y	I																																																																											
Martin County Schools	580312	E J Hayes Elementary	Northeast	03-05	Y	D	49	D	48	D	50	NotMet	-5.08	16	100.0		Y											890	35.2	47.2										132	37.1	50.8	124	35.5	41.9	126	42.1	51.6										132	25.0	32.6	124	29.8	43.5	126	36.5	50.8										126	40.5	59.5			
Martin County Schools	580316	East End Elementary	Northeast	PK-05	Y	D	40	F	39	D	42	Met	0.12	10	100.0		Y											348	21.8	30.5										60	28.3	35.0	45	35.6	40.0	46	17.4	19.6										61	18.0	39.3	45	26.7	31.1	46	6.5	17.4										45	20.0	26.7			
Martin County Schools	580320	Edna Andrews Elementary	Northeast	PK-05	Y	F	35	D	40	F	34	NotMet	-3.26	6	100.0		Y											145	19.3	27.6										20	20.0	25.0	24	12.5	20.8	19	26.3	31.6										20	15.0	15.0	24	25.0	41.7	19	21.1	36.8										19	15.8	21.1			
Martin County Schools	580324	Jamesville Elementary	Northeast	PK-05	Y	C	66	C	60	B	71	Met	-0.24	7	100.0		Y											262	48.9	63.4										45	48.9	62.2	32	71.9	81.3	36	52.8	63.9										45	37.8	53.3	32	53.1	68.8	36	27.8	47.2										36	55.6	72.2			
Martin County Schools	580344	South Creek High	Northeast	09-12		C	67					Met	-1.82	17	100.0	N	Y	53	56.6	32	75.0	64	>95	80	77.5	82	84.1	188	36.2	51.6	55	36.4	47.3	59	42.4	57.6	74	31.1	50.0																																										
Martin County Schools	580350	South Creek Middle	Northeast	06-08	Y	C	57	C	61	F	39	Exceeded	5.59	15	100.0		Y											537	33.7	48.0	21	76.2	>95																62	17.7	24.2	82	6.1	9.8	76	35.5	43.4										62	41.9	58.1	82	32.9	54.9	76	30.3	53.9				76	60.5	77.6
Martin County Schools	580356	Rodgers Elementary	Northeast	0K-05	Y	C	65	C	64	C	67	Exceeded	2.58	8	100.0		Y											322	48.8	60.2										40	57.5	67.5	49	42.9	61.2	48	47.9	56.3										40	57.5	67.5	49	49.0	61.2	48	43.8	50.0										48	45.8	60.4			
Martin County Schools	580368	Riverside High	Northeast	09-12		C	60					NotMet	-6.87	28	92.9	N	Y	125	60.0	81	75.3	141	>95	165	84.8	153	75.8	456	28.5	39.0	152	27.6	36.8	171	18.1	25.7	133	42.9	58.6																																										
Martin County Schools	580372	Riverside Middle	Northeast	06-08	Y	D	53	D	54	D	45	Exceeded	6.02	19	100.0		Y											1129	34.6	43.2	27	>95	>95																145	27.6	35.9	162	22.2	27.2	163	27.0	35.0										145	32.4	45.5	162	39.5	43.8	164	29.3	45.1				161	52.8	60.2
McDowell County Schools	590	McDowell County Schools	Northwest											63	100.0			442	54.1	211	69.2	427	>95	495	85.3	499	82.4	7926	45.6	57.0	595	54.3	65.9	264	53.8	61.7	439	42.6	51.9	502	47.2	60.6	462	42.4	51.3	544	46.0	53.3	448	31.5	41.5	381	31.0	39.9	470	40.0	48.7	502	45.6	57.8	462	40.0	56.5	544	37.3	53.9	449	52.1	63.0	381	42.5	53.8	470	41.1	52.3	544	53.7	69.3	469	70.6	81.0
McDowell County Schools	590306	Eastfield Global Magnet	Northwest	PK-05	Y	C	57	D	54	C	60	Exceeded	2.89	11	100.0		Y											419	37.0	49.2										69	46.4	63.8	40	37.5	50.0	67	41.8	43.3										69	39.1	52.2	40	35.0	52.5	67	20.9	35.8										67	37.3	47.8			
McDowell County Schools	590310	East McDowell Middle	Northwest	06-08		C	61	C	61	D	48	Met	0.47	21	100.0		Y							<10	*	<10	*	1370	46.6	55.5	38	>95	>95																188	29.8	39.4	136	28.7	31.6	228	42.5	51.8										188	49.5	63.3	136	34.6	45.6	228	44.7	53.5				228	73.2	81.1
McDowell County Schools	590316	Glenwood Elementary	Northwest	PK-05	Y	B	72	B	71	C	67	Exceeded	5.67	13	100.0		Y											479	52.4	66.8										62	50.0	66.1	59	47.5	50.8	79	57.0	65.8										62	54.8	67.7	59	40.7	66.1	79	46.8	65.8										79	65.8	81.0			
McDowell County Schools	590320	Marion Elementary	Northwest	PK-05	Y	C	64	C	61	C	58	Met	-1.26	11	100.0		Y											473	45.2	61.1										64	48.4	57.8	60	38.3	43.3	75	42.7	61.3										64	37.5	51.6	60	40.0	55.0	75	42.7	65.3										75	64.0	86.7			
McDowell County Schools	590328	McDowell Early College	Northwest	09-13		B	83					NotMet	-3.11	12	100.0	N		55	89.1	<10	*	57	>95	43	>95	43	>95	137	67.2	78.1	64	71.9	82.8	71	63.4	74.6	<10	*	*																																										
McDowell County Schools	590330	McDowell High	Northwest	09-12		B	73					Exceeded	3.73	36	100.0	N	Y	370	50.0	196	67.3	355	>95	415	88.4	413	85.0	1003	47.4	58.0	417	47.2	60.2	173	54.9	62.4	413	44.3	54.0																																										
McDowell County Schools	590332	Nebo Elementary	Northwest	PK-05	Y	D	52	D	53	D	53	Met	1.46	11	100.0		Y											455	32.5	44.2										63	30.2	41.3	58	36.2	50.0	71	36.6	42.3										63	34.9	46.0	58	27.6	43.1	71	36.6	45.1										71	25.4	42.3			
McDowell County Schools	590336	North Cove Elementary	Northwest	PK-05	Y	B	71	B	70	B	72	Met	1	9	100.0		Y											302	56.6	68.5										43	76.7	81.4	42	52.4	61.9	44	56.8	65.9										43	53.5	69.8	42	50.0	61.9	44	45.5	65.9										44	61.4	72.7			
McDowell County Schools	590340	Old Fort Elementary	Northwest	PK-05	Y	B	71	B	71	B	70	Exceeded	3.76	9	100.0		Y											387	52.7	66.9										55	56.4	70.9	53	54.7	67.9	57	57.9	57.9										55	58.2	70.9	53	49.1	69.8	57	40.4	61.4										57	52.6	70.2			
McDowell County Schools	590344	Pleasant Gardens Elementary	Northwest	PK-05	Y	C	63	C	59	C	59	Exceeded	4.62	9	100.0		Y											456	45.0	56.4										63	44.4	57.1	63	39.7	42.9	68	44.1	54.4										63	47.6	55.6	63	36.5	47.6	68	35.3	54.4										68	66.2	80.9			
McDowell County Schools	590352	West Marion Elementary	Northwest	PK-05	Y	C	59	C	56	C	55	Met	0.26	15	100.0		Y											589	41.4	53.1										83	38.6	55.4	87	37.9	49.4	83	37.3	41.0										83	44.6	55.4	87	42.5	57.5	83	32.5	42.2										83	56.6	71.1			
McDowell County Schools	590356	West McDowell Middle	Northwest	06-08		C	67	C	66	C	57	Exceeded	11.19	20	100.0		Y							<10	*	<10	*	1428	47.3	58.2	34	>95	>95																168	34.5	42.9	208	34.1	46.2	214	41.1	49.5										169	55.6	65.1	208	46.6	58.2	214	40.2	54.2				213	69.0	82.6
McDowell County Schools	590393	McDowell	Northwest	06-12		N/A		N/A		N/A		NotMet	-11.12	12	100.0	N	Y	17	29.4	10	90.0	15	>95	22	54.5	24	66.7	428	32.2	42.8	42	19.0	38.1	20	10.0	10.0	24	12.5	16.7										92	29.3	43.5	37	21.6	35.1	28	10.7	17.9										92	51.1	58.7	37	48.6	59.5	28	17.9	28.6				28	60.7	67.9
Charlotte-Mecklenburg Schools	600	Charlotte-Mecklenburg Schools	Southwest											98	84.7			9088	56.3	1747	77.0	9141	>95	10054	89.4	9859	90.7	193863	52.2	61.2	14563	60.2	68.9	11018	48.6	56.3	11128	54.3	63.8	12258	58.2	68.2	11903	55.6	62.7	11417	60.1	65.6	10782	50.3	56.8	10152	48.8	54.7	10917	45.1	50.4	12257	46.5	58.4	11896	44.3	57.3	11413	43.7	56.5	10786	50.4	60.2	10147	48.8	57.3	10915	42.2	53.2	11411	62.6	72.2	10900	65.2	74.0
Charlotte-Mecklenburg Schools	600300	Albemarle Road Elementary	Southwest	0K-05	Y	C	57	D	47	C	58	Exceeded	2.55	19	100.0													1278	37.5	49.1										200	40.0	51.0	184	44.6	53.3	170	44.7	52.9										200	29.5	43.0	184	26.1	41.3	170	19.4	30.0										170	59.4	73.5			
Charlotte-Mecklenburg Schools	600301	Albemarle Road Middle	Southwest	06-08	Y	D	43	F	38	F	39	NotMet	-4.3	26	100.0													2644	30.6	38.7	41	>95	>95																394	33.0	39.3	321	24.6	33.0	390	20.5	25.9										395	28.4	37.2	320	21.6	30.3	390	21.5	30.0				393	55.0	66.2
Charlotte-Mecklenburg Schools	600302	Ardrey Kell High	Southwest	09-12		A	94					Exceeded	11.75	43	97.7	Y		668	87.6	130	92.3	631	>95	649	>95	634	>95	2406	86.7	91.4	776	86.5	91.1	795	88.6	91.8	835	85.0	91.3																																										
Charlotte-Mecklenburg Schools	600305	J M Alexander Middle	Southwest	06-08		C	58	C	60	D	54	NotMet	-3.9	26	100.0													1838	47.2	57.2	101	83.2	94.1																257	47.9	53.7	229	44.1	51.5	255	36.1	41.6										257	44.7	58.0	229	50.7	60.3	255	35.3	51.8				255	57.6	68.6
Charlotte-Mecklenburg Schools	600308	Allenbrook Elementary	Southwest	PK-05	Y	D	45	D	40	D	53	NotMet	-2.45	15	100.0													652	31.3	39.6										111	40.5	52.3	95	55.8	56.8	80	35.0	37.5										111	26.1	34.2	95	22.1	34.7	80	8.8	20.0										80	26.3	36.3			
Charlotte-Mecklenburg Schools	600311	Ashley Park PreK-8 School	Southwest	PK-08	Y	D	42	F	34	D	44	Met	-1.09	11	100.0													871	24.3	34.2										68	32.4	44.1	69	21.7	29.0	58	37.9	55.2	64	21.9	26.6	61	21.3	26.2	58	20.7	25.9	68	10.3	26.5	69	5.8	11.6	58	19.0	34.5	65	21.5	30.8	62	16.1	25.8	57	15.8	28.1	56	58.9	66.1	58	44.8	56.9
Charlotte-Mecklenburg Schools	600312	William Amos Hough High	Southwest	09-12		A	86					Exceeded	3.38	41	85.4	Y	Y	597	81.4	154	87.7	551	>95	595	93.3	598	94.6	1972	72.4	80.8	623	72.2	82.2	650	71.4	79.4	699	73.4	81.0																																										
Charlotte-Mecklenburg Schools	600313	Bailey Middle	Southwest	06-08		A	85	B	81	B	82	Exceeded	4.36	30	100.0													4180	77.7	83.9	281	>95	>95																530	78.7	84.7	534	74.7	77.9	591	73.6	79.5										530	75.7	82.6	534	75.3	82.8	590	66.1	78.0				590	89.3	93.1
Charlotte-Mecklenburg Schools	600314	Bain Elementary	Southwest	0K-05		A+NG	86	B	83	A	85	Exceeded	3.59	16	100.0													1128	76.7	85.3										155	76.8	85.2	165	77.0	84.2	163	86.5	88.3										155	70.3	81.9	165	69.1	80.6	163	69.9	83.4										162	87.0	93.2			
Charlotte-Mecklenburg Schools	600316	Barringer Academic Center	Southwest	0K-05	Y	C	67	C	67	C	65	Met	-0.39	16	100.0													712	58.3	64.0										97	56.7	61.9	112	50.0	55.4	98	64.3	66.3										97	61.9	68.0	112	51.8	62.5	98	56.1	63.3										98	69.4	72.4			
Charlotte-Mecklenburg Schools	600317	Whitewater Middle	Southwest	06-08	Y	D	51	D	43	D	49	Exceeded	2.51	24	100.0													1978	32.9	42.0	32	>95	>95																259	40.2	47.9	265	27.9	37.4	299	25.4	31.1										260	27.3	38.8	265	26.4	35.1	299	23.7	34.4				299	50.8	61.9
Charlotte-Mecklenburg Schools	600318	Whitewater Academy	Southwest	PK-05	Y	C	59	D	52	C	61	Exceeded	4.11	20	100.0													934	39.6	51.1										151	45.7	55.6	142	43.0	50.7	116	44.0	52.6										151	31.8	47.7	142	23.9	33.8	116	32.8	51.7										116	59.5	69.0			
Charlotte-Mecklenburg Schools	600319	Berryhill School	Southwest	PK-08	Y	D	46	D	47	D	45	NotMet	-4.44	17	100.0													1117	33.6	42.9	28	64.3	71.4							90	41.1	48.9	90	38.9	52.2	93	24.7	29.0	84	28.6	35.7	56	37.5	44.6	57	35.1	42.1	89	23.6	34.8	90	28.9	35.6	93	21.5	30.1	84	39.3	52.4	56	35.7	48.2	57	22.8	36.8	93	30.1	40.9	57	63.2	71.9
Charlotte-Mecklenburg Schools	600322	Beverly Woods Elementary	Southwest	0K-05		A+NG	86	A	85	A	86	Exceeded	2.35	14	100.0													822	78.1	85.8										124	76.6	85.5	116	82.8	88.8	114	81.6	86.0										124	78.2	86.3	116	76.7	84.5	114	72.8	83.3										114	78.1	86.0			
Charlotte-Mecklenburg Schools	600328	Barnette Elementary	Southwest	PK-05		C	68	C	69	C	65	NotMet	-2.48	14	100.0													776	56.8	68.0										125	61.6	75.2	140	42.1	52.1	82	65.9	67.1										125	58.4	72.8	140	52.1	63.6	82	56.1	72.0										82	72.0	81.7			
Charlotte-Mecklenburg Schools	600329	Briarwood Elementary	Southwest	PK-05	Y	D	50	D	44	C	55	Met	0.05	14	100.0													808	30.6	42.7				<10	*	*				131	46.6	56.5	114	31.6	40.4	106	38.7	47.2										131	22.1	36.6	114	20.2	37.7	105	17.1	30.5										106	36.8	49.1			
Charlotte-Mecklenburg Schools	600333	Carmel Middle	Southwest	06-08		B	74	C	68	B	74	Exceeded	3.06	29	100.0													2660	63.8	70.0	182	>95	>95																372	64.5	71.2	339	63.7	67.0	353	63.7	68.0										371	62.5	70.1	338	57.1	64.8	352	52.3	58.8				353	64.9	74.5
Charlotte-Mecklenburg Schools	600334	Cato Middle College High	Southwest	11-13		A	98							6	66.7	Y		97	94.8	<10	*	92	>95	93	>95	72	>95	<10	*	*	<10	*	*				<10	*	*																																										
Charlotte-Mecklenburg Schools	600335	Billingsville Elementary	Southwest	PK-05	Y	D	54	D	43	C	61	Exceeded	3.52	8	100.0													312	34.0	44.9										68	38.2	48.5	43	39.5	44.2	30	63.3	76.7										68	14.7	26.5	43	14.0	27.9	30	36.7	53.3										30	56.7	63.3			
Charlotte-Mecklenburg Schools	600336	Chantilly Montessori	Southwest	PK-06		B	75	B	78	B	75	NotMet	-4.21	7	100.0													292	71.2	79.1										47	57.4	70.2	41	70.7	85.4	30	73.3	73.3	13	76.9	76.9							47	74.5	78.7	41	75.6	78.0	30	76.7	90.0	13	61.5	84.6							30	76.7	80.0			
Charlotte-Mecklenburg Schools	600338	Clear Creek Elementary	Southwest	PK-05		C	69	C	61	C	69	Met	0.61	17	100.0													666	56.8	66.1										87	48.3	58.6	102	60.8	65.7	96	71.9	74.0										87	42.5	54.0	102	45.1	64.7	96	42.7	54.2										96	84.4	89.6			
Charlotte-Mecklenburg Schools	600341	Cochrane Collegiate Academy	Southwest	06-12	Y	D	43	D	42	F	32	NotMet	-2.56	32	100.0	Y		33	60.6	13	76.9	23	>95	27	77.8	46	87.0	1512	25.0	34.3	106	41.5	50.9	71	12.7	23.9	71	36.6	50.7										187	28.9	36.9	194	17.5	19.6	167	10.2	15.6										188	26.1	37.8	194	23.2	33.0	167	15.0	26.3				167	44.9	59.9
Charlotte-Mecklenburg Schools	600344	Collinswood Language Academy	Southwest	0K-08		B	71	B	72	C	65	NotMet	-2.33	22	100.0													1149	60.4	71.5	50	86.0	94.0							89	56.2	71.9	91	60.4	67.0	89	61.8	68.5	80	57.5	70.0	72	45.8	52.8	56	50.0	60.7	89	50.6	61.8	91	56.0	72.5	89	50.6	66.3	80	71.3	76.3	72	62.5	72.2	56	57.1	75.0	89	66.3	82.0	56	89.3	92.9
Charlotte-Mecklenburg Schools	600345	Community House Middle	Southwest	06-08		A	86	B	79	A	86	Exceeded	7.56	35	100.0													4611	77.2	83.3	380	>95	>95																552	77.4	82.6	592	77.4	83.1	648	77.2	80.9										552	69.6	78.1	592	72.5	79.9	648	67.0	76.7				647	85.6	91.3
Charlotte-Mecklenburg Schools	600346	Cornelius Elementary	Southwest	0K-05		B	80	B	75	B	83	Exceeded	4.77	13	100.0													717	67.8	77.0										113	71.7	85.8	109	72.5	74.3	91	74.7	80.2										113	61.1	80.5	109	60.6	67.9	91	58.2	70.3										91	76.9	79.1			
Charlotte-Mecklenburg Schools	600349	Cotswold Elementary	Southwest	0K-05		B	71	C	67	B	73	Met	-0.47	20	100.0													906	60.5	69.5										146	65.1	72.6	126	59.5	67.5	121	66.1	70.2										146	55.5	65.1	125	56.0	65.6	121	56.2	67.8										121	65.3	78.5			
Charlotte-Mecklenburg Schools	600351	Coulwood STEM Academy	Southwest	06-08	Y	C	62	C	55	C	61	Exceeded	3.88	18	94.4													1530	45.6	54.5	25	>95	>95																203	57.1	65.0	219	50.7	58.9	220	35.5	39.1										205	42.4	51.7	222	32.4	44.1	218	32.6	46.3				218	62.8	72.0
Charlotte-Mecklenburg Schools	600352	Crown Point Elementary	Southwest	0K-05		C	66	C	61	B	70	Met	-1.61	17	100.0													884	53.2	64.4										116	55.2	66.4	132	56.8	68.9	129	63.6	70.5										116	44.0	55.2	132	41.7	58.3	130	48.5	59.2										129	62.0	71.3			
Charlotte-Mecklenburg Schools	600353	Crestdale Middle	Southwest	06-08		B	77	B	75	B	77	NotMet	-3.55	26	100.0													1937	74.4	80.5	123	>95	>95																247	72.5	77.3	230	80.4	85.7	288	59.7	67.4										247	76.1	81.4	230	80.9	87.8	287	61.0	70.0				285	82.5	88.4
Charlotte-Mecklenburg Schools	600357	Davidson Elementary	Southwest	0K-05		B	79	B	80	B	79	Met	-0.6	15	100.0													871	72.0	79.8										107	73.8	83.2	135	74.1	77.0	129	69.8	73.6										107	71.0	80.4	135	72.6	83.7	129	68.2	79.8										129	74.4	81.4			
Charlotte-Mecklenburg Schools	600361	Butler High	Southwest	09-12		B	80					Exceeded	7.07	42	92.9	Y		425	58.1	68	91.2	480	>95	507	93.1	477	93.5	1622	58.9	68.8	503	60.4	70.0	566	59.0	67.8	553	57.3	68.7																																										
Charlotte-Mecklenburg Schools	600362	David Cox Road Elementary	Southwest	PK-05	Y	C	57	D	50	C	61	Met	1.04	11	100.0													675	40.0	50.4										97	39.2	53.6	86	48.8	57.0	103	46.6	53.4										97	35.1	42.3	86	34.9	52.3	103	27.2	39.8										103	48.5	55.3			
Charlotte-Mecklenburg Schools	600364	Military and Global Leadership Academy	Southwest	0K-12	Y	D	50	D	51	F	37	NotMet	-3.41	22	100.0	Y		17	58.8	<10	*	28	>95	31	90.3	34	>95	1036	33.3	43.9	87	35.6	46.0	46	37.0	45.7	35	48.6	65.7	57	7.0	22.8	61	11.5	21.3	60	58.3	65.0	71	29.6	35.2	65	12.3	16.9	60	18.3	25.0	57	31.6	43.9	61	29.5	41.0	60	25.0	38.3	71	35.2	47.9	65	36.9	47.7	60	33.3	50.0	60	56.7	66.7	60	66.7	78.3
Charlotte-Mecklenburg Schools	600365	Devonshire Elementary	Southwest	0K-05	Y	C	57	D	46	B	71	Met	0.27	14	100.0													657	40.0	50.8										98	68.4	73.5	86	55.8	60.5	97	60.8	67.0										98	25.5	42.9	84	20.2	34.5	97	19.6	33.0										97	28.9	43.3			
Charlotte-Mecklenburg Schools	600367	Dilworth Elementary	Southwest	0K-05		A+NG	85	B	82	A	87	Exceeded	2.35	13	100.0													803	77.8	84.6										132	80.3	87.1	97	87.6	88.7	115	82.6	85.2										132	68.2	78.0	97	76.3	88.7	115	71.3	80.0										115	80.9	86.1			
Charlotte-Mecklenburg Schools	600368	First Ward Creative Arts Acad	Southwest	0K-05	Y	C	61	D	54	C	68	NotMet	-3.11	13	100.0													642	46.9	59.8										96	64.6	79.2	93	58.1	67.7	88	48.9	54.5										96	38.5	53.1	93	36.6	51.6	88	28.4	45.5										88	52.3	65.9			
Charlotte-Mecklenburg Schools	600369	Berewick Elementary	Southwest	PK-05		C	65	C	59	C	69	Met	1.51	20	100.0													835	47.7	60.5										114	63.2	78.1	113	48.7	55.8	127	52.0	60.6										114	43.0	63.2	113	37.2	54.0	127	33.9	44.9										127	55.9	67.7			
Charlotte-Mecklenburg Schools	600374	Druid Hills Academy	Southwest	PK-08	Y	D	45	D	41	F	39	Met	0.97	13	100.0													864	26.7	35.1										76	39.5	51.3	62	21.0	25.8	63	31.7	39.7	58	17.2	24.1	52	9.6	11.5	60	20.0	21.7	76	28.9	40.8	62	24.2	35.5	63	15.9	28.6	58	15.5	25.9	51	17.6	21.6	60	18.3	28.3	63	49.2	58.7	60	56.7	65.0
Charlotte-Mecklenburg Schools	600377	East Mecklenburg High	Southwest	09-12		B	76					Exceeded	7.23	45	93.3	Y		349	54.7	60	85.0	333	>95	366	91.0	375	89.6	1584	55.2	64.6	536	52.2	63.4	507	51.3	57.8	541	61.9	72.3																																										
Charlotte-Mecklenburg Schools	600379	Eastover Elementary	Southwest	0K-05		B	74	B	74	B	70	Met	-0.2	12	100.0													411	62.3	73.0										62	53.2	62.9	58	58.6	63.8	57	68.4	71.9										62	54.8	67.7	58	53.4	79.3	57	64.9	77.2										57	84.2	89.5			
Charlotte-Mecklenburg Schools	600381	Eastway Middle	Southwest	06-08	Y	F	34	F	29	D	40	NotMet	-7.22	25	100.0													1994	21.5	29.2	51	66.7	86.3																269	23.4	30.5	262	32.4	40.8	294	15.3	18.4										269	15.6	24.5	262	14.5	19.5	294	14.3	23.5				293	27.0	37.5
Charlotte-Mecklenburg Schools	600382	Elizabeth Lane Elem	Southwest	0K-05		A	87	A	85	A	90	Met	0.13	21	100.0													1327	81.3	88.5										188	89.9	>95	186	83.9	89.2	193	86.5	88.6										188	81.9	90.4	186	71.5	83.3	193	70.5	81.3										193	85.0	91.2			
Charlotte-Mecklenburg Schools	600383	Elon Park Elementary	Southwest	0K-05		A+NG	89	A	85	A	91	Exceeded	2.32	22	100.0													1448	83.6	89.7										197	85.8	92.9	218	85.8	89.9	206	92.7	94.7										197	78.7	87.8	218	68.3	78.9	206	82.5	89.3										206	91.7	>95			
Charlotte-Mecklenburg Schools	600384	Elizabeth Traditional Elem	Southwest	0K-05		C	68	C	67	B	71	NotMet	-3.01	15	100.0													634	57.3	68.5										88	64.8	78.4	94	68.1	75.5	90	48.9	60.0										88	59.1	69.3	94	59.6	69.1	90	40.0	58.9										90	60.0	67.8			
Charlotte-Mecklenburg Schools	600385	Endhaven Elementary	Southwest	PK-05		B	73	B	72	B	73	Met	-0.81	21	100.0													865	61.4	72.7										130	64.6	77.7	121	59.5	65.3	121	68.6	74.4										130	63.8	76.9	121	59.5	68.6	121	49.6	66.1										121	63.6	79.3			
Charlotte-Mecklenburg Schools	600386	Hawthorne High	Southwest	09-12	Y	B	81					Met	1.73	10	100.0	Y	Y	26	61.5	15	86.7	15	>95	15	>95	28	82.1	200	69.0	79.0	71	67.6	80.3	71	69.0	74.6	58	70.7	82.8																																										
Charlotte-Mecklenburg Schools	600392	Polo Ridge Elementary	Southwest	0K-05		A+NG	91	A	88	A	91	Exceeded	3.4	16	100.0													1228	84.8	91.5										155	88.4	>95	185	84.9	88.1	183	92.9	94.0										154	76.6	89.0	185	75.7	86.5	183	82.0	91.3										183	92.3	>95			
Charlotte-Mecklenburg Schools	600394	Francis Bradley Middle	Southwest	06-08		B	70	C	61	B	73	Met	-1.15	31	100.0													2650	60.9	69.1	161	>95	>95																351	58.1	65.2	330	60.6	66.1	377	65.5	73.7										351	61.3	69.8	330	50.0	61.8	375	43.5	54.4				375	69.1	77.9
Charlotte-Mecklenburg Schools	600397	Garinger High	Southwest	09-12	Y	C	57					Exceeded	8.08	38	39.5	Y	Y	344	19.2	47	59.6	365	>95	450	75.8	382	82.2	1558	22.8	32.3	497	21.3	33.4	540	26.7	33.3	521	20.3	30.3																																										
