County,RANK,PYR,ATB,APTR,NPTR,MSSP,TR-SS,PCI,PctAv,IATR,FADM,RpADM
Henderson,26,25,12314704324,81523343,25695583,7840986,99377939,35518,91,90110175,13861,6501
Yancey,27,26,2604002702,17238498,3412286,1686627,18964157,29783,76,14419072,2219,6498
Iredell,28,28,20735292806,137267638,46762370,9932649,174097359,40747,104,181101966,28431,6370
Guilford,29,30,47158441570,312188883,141810153,27301417,426697620,40344,103,439475346,76133,5772
Forsyth,30,33,32599197022,215806684,102944388,18568761,300182311,41437,106,317547534,56280,5642
Onslow,31,29,13156558309,87096416,48834537,10128549,125802404,44538,114,143039174,25397,5632
Beaufort,32,31,5566100776,36847587,11301255,4372316,43776526,36372,93,40648434,7221,5629
Graham,33,32,1260320089,8343319,1564396,634680,9273035,28264,72,6690997,1190,5623
Warren,34,38,2327039290,15405000,5922818,2055901,19271917,28356,72,13950997,2495,5592
Davie,35,34,4107027038,27188519,8360149,1990081,33558587,40542,104,34733150,6298,5515
Craven,36,35,8959758269,59313600,23460885,6476503,76297982,39436,101,76814154,14256,5388
Jones,37,37,814599203,5392647,1359285,792537,5959394,38925,99,5921969,1117,5302
Catawba,38,36,16239244460,107503798,47297113,18211815,136589096,36742,94,128119184,24207,5293
Madison,39,42,2304969325,15258897,3312612,1699341,16872169,28964,74,12475696,2445,5103
Cherokee,40,43,2942083971,19476596,6586044,2301770,23760870,28064,72,17023437,3429,4965
Person,41,40,4337414806,28713686,8132232,3775222,33070696,33113,85,27956140,5674,4927
Lincoln,42,41,8293790238,54904891,16811628,4509540,67206979,35879,92,61558786,12635,4872
Cabarrus,43,44,19890707130,131676481,65071963,13961548,182786896,38521,98,179753747,37428,4803
Swain,44,47,1565402624,10362965,3243258,1142498,12463725,29712,76,9453989,2033,4650
Mitchell,45,39,1677882498,11107582,3543872,2930614,11720840,29501,75,8827360,1943,4543
Chowan,46,46,1408518433,9324392,2867738,1172814,11019316,35054,89,9861150,2176,4532
Montgomery,47,53,2845961681,18840266,5301597,1909421,22232442,32334,83,18351938,4057,4524
Tyrrell,48,45,450243398,2980611,775156,467955,3287812,30098,77,2526271,573,4409
Northampton,49,48,1977625463,13091881,2857901,2712046,13237735,31042,79,10490561,2383,4402
Union,50,55,21932788772,145195062,43623986,10259772,178559276,41166,105,187653395,43157,4348
Alamance,51,51,11981954384,79320538,45175614,8400826,116095326,34801,89,103143485,23758,4341
Pender,52,50,6279345854,41569270,10538113,4554479,47552904,31366,80,38077772,8836,4309
Davidson,53,63,12842985665,85020565,31523819,6953333,109591052,34650,88,96942379,22576,4294
Pitt,54,52,11717278616,77568384,44459602,9836448,112191538,35410,90,101419478,24018,4223
Camden,55,54,1015487998,6722531,1570043,506393,7786181,39320,100,7815798,1863,4195
Lee,56,56,5120468379,33897501,16204894,3562107,46540288,34648,88,41166370,9952,4136
Pasquotank,57,49,2960690088,19599768,10121067,3180829,26540007,34331,88,23260703,5744,4050
Cumberland,58,59,22016263541,145747665,93997424,27057476,212687613,37592,96,204114083,50937,4007
Rowan,59,58,11259177187,74535753,30973719,7098945,98410527,31587,81,79357007,19933,3981
Stanly,60,62,4673195759,30936556,13015988,3002374,40950169,32571,83,34050394,8693,3917
Surry,61,61,5436959608,35992673,20641122,3829267,52804527,33538,86,45210953,11596,3899
Rutherford,62,65,6118178876,40502344,13625086,4597077,49530353,28379,72,35884248,9316,3852
Wilkes,63,64,5691382227,37676950,15281069,5426809,47531210,30988,79,37601724,9827,3826
Martin,64,57,1841977261,12193889,5615091,2037488,15771493,34567,88,13917776,3648,3815
Wilson,65,60,6383334626,42257675,20363421,7348676,55272420,36044,92,50860052,13375,3803
Rockingham,66,66,6870888083,45485279,18345508,5493216,58337571,32638,83,48607941,13177,3689
Nash,67,68,7097538045,46985702,23095616,5957129,64124189,37505,96,61396893,16725,3671
Lenoir,68,67,4019401665,26608439,13110759,4848407,34870792,37297,95,33202520,9133,3635
Stokes,69,70,3680998433,24368210,6860985,2484076,28745118,31742,81,23293445,6426,3625
Gaston,70,69,14522754080,96140632,48065025,17179305,127026352,36404,93,118053339,32910,3587
Bladen,71,71,2754164083,18232566,6222992,3361990,21093568,32743,84,17632093,4988,3535
Burke,72,74,6509738449,43094469,17148975,5614931,54628513,31827,81,44386451,12734,3486
Caldwell,73,78,6529663185,43226370,16443154,5423467,54246057,30091,77,41671596,11964,3483
McDowell,74,73,3565217616,23601741,9079544,3265547,29415738,28985,74,21766490,6282,3465
Granville,75,77,4267902029,28253511,9802278,2889321,35166468,33123,85,29736768,8752,3398
Wayne,76,72,7911148633,52371804,27580252,6874907,73077149,35181,90,65633432,19323,3397
Yadkin,77,76,2782452952,18419839,6557383,2617619,22359603,31890,81,18203460,5426,3355
Duplin,78,75,4147894351,27459061,11136431,2894504,35700988,35546,91,32397113,9706,3338
Alexander,79,81,2585542924,17116294,5997453,2920924,20192823,32956,84,16988963,5127,3314
Randolph,80,79,10638836581,70429098,29391208,6903221,92917085,31896,81,75660140,22888,3306
Cleveland,81,80,7675904292,50814486,21673606,8189037,64299056,31699,81,52033794,15850,3283
Halifax,82,84,3618719274,23955922,12722265,5759477,30918709,32376,83,25555235,7859,3252
Washington,83,83,873763562,5784315,2389988,1687220,6487083,32221,82,5336098,1651,3232
Hertford,84,82,1443565419,9556403,5722746,2429407,12849742,28752,73,9431870,2940,3208
Anson,85,90,1673538984,11078828,4375722,1631220,13823330,31230,80,11020975,3502,3147
Johnston,86,85,14367973346,95115984,38251095,9901096,123465982,34930,89,110098460,35031,3143
Franklin,87,86,4506862776,29835432,10245738,3941122,36140048,31826,81,29363385,9354,3139
Gates,88,87,808543771,5352560,1556336,730667,6178229,32368,83,5105229,1633,3126
Caswell,89,89,1572693767,10411233,2867138,1417822,11860549,29443,75,8915017,2927,3046
Edgecombe,90,88,3064749681,20288643,10336997,4651938,25973701,32176,82,21335422,7009,3044
Bertie,91,94,1273289295,8429175,2849180,1755378,9522977,32312,82,7855466,2582,3042
Sampson,92,93,4242142878,28082986,12895691,5197032,35781644,35821,91,32721510,11512,2842
Columbus,93,91,3679831524,24360485,10835754,3819419,31376820,30852,79,24713121,9086,2720
Richmond,94,92,3058879036,20249779,9244820,2897926,26596674,29991,77,20363556,7510,2712
Harnett,95,95,7473992661,49477831,21255977,5747294,64986514,31324,80,51967975,20316,2558
Vance,96,96,2342693853,15508633,10723520,3339991,22892163,30024,77,17546509,7373,2380
Scotland,97,97,2057998716,13623951,7492264,2690056,18426160,29039,74,13660035,5928,2304
Hoke,98,98,3269359196,21643158,6777107,3113762,25306503,28790,73,18599837,8530,2181
Greene,99,99,1073412892,7105993,2766656,1314986,8557663,31087,79,6791557,3136,2166
Robeson,100,100,6163056348,40799433,27215853,14107595,53907691,26639,68,36660973,23668,1549
