"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
300	Davie County	300312	Davie County High	N	09,10,11,12	1483	N/A	N/A	607	40.93	N	SW						2015-2016	Y
920	Wake County	920390	Davis Drive Elementary	N	0K,01,02,03,04,05	986	N/A	N/A	48	4.87	N	Not Title I						2015-2016	N
920	Wake County	920391	Davis Drive Middle	N	06,07,08	1337	N/A	N/A	124	9.27	N	Not Title I						2015-2016	N
290	Davidson County	290316	Davis-Townsend Elementary	N	PK,0K,01,02,03,04,05	513	N/A	N/A	244	47.56	Y	SW-SW					2015-2016	2015-2016	N
420	Halifax County	420316	Dawson Elementary	N	PK,0K,01,02,03,04,05	311	248	1.6	311	100.00	Y	SW-SW					2004-2005	2015-2016	Y
780	Robeson County	780320	Deep Branch Elementary	N	PK,0K,01,02,03,04,05,06	437	295	1.6	437	100.00	Y	SW-SW					2005-2006	2015-2016	Y
530	Lee County	530312	Deep River Elementary	N	0K,01,02,03,04,05	601	N/A	N/A	485	80.70	Y	SW-SW					2006-2007	2015-2016	N
290	Davidson County	290320	Denton Elementary	N	PK,0K,01,02,03,04,05	380	N/A	N/A	229	60.26	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600365	Devonshire Elementary	N	0K,01,02,03,04,05	675	N/A	N/A	504	74.67	Y	SW-SW					2002-2003	2015-2016	Y
610	Mitchell County	610310	Deyton Elementary	N	03,04,05	256	N/A	N/A	167	65.23	Y	SW-SW					2006-2007	2015-2016	N
340	Forsyth County	340430	Diggs-Latham Elementary	N	PK,0K,01,02,03,04,05	532	374	1.6	532	100.00	Y	SW-SW					2002-2003	2015-2016	Y
96C	Dillard Academy	96C000	Dillard Academy	Y	0K,01,02,03,04,05,06	220	187	1.6	220	100.00	Y	SW-SW					2004-2005	2015-2016	Y
920	Wake County	920393	Dillard Drive Elementary	N	PK,0K,01,02,03,04,05	766	N/A	N/A	494	64.49	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920394	Dillard Drive Middle	N	06,07,08	1146	N/A	N/A	596	52.01	N	SW						2015-2016	N
960	Wayne County	960326	Dillard Middle	N	05,06,07,08	568	483	1.6	568	100.00	Y	SW-SW					2001-2002	2015-2016	Y
600	Mecklenburg County	600367	Dilworth Elementary	N	0K,01,02,03,04,05	710	N/A	N/A	125	17.61	N	Not Title I						2015-2016	N
182	Newton-Conover	182700	Discovery High School	N	PK,09,10,11,12	215	N/A	N/A	89	41.40	N	SW						2015-2016	N
260	Cumberland County	260356	District No 7 Elementary	N	PK,0K,01,02,03,04,05	253	N/A	N/A	134	52.96	Y	SW-SW					2006-2007	2015-2016	N
670	Onslow County	670314	Dixon Elementary	N	PK,0K,01,02,03,04,05	958	N/A	N/A	338	35.28	Y	TAS-SW		Always SW			2004-2005	2015-2016	N
670	Onslow County	670320	Dixon High	N	09,10,11,12	794	N/A	N/A	255	32.12	N	Not Title I						2015-2016	N
670	Onslow County	670318	Dixon Middle	N	06,07,08	667	N/A	N/A	289	43.33	N	SW						2015-2016	N
510	Johnston County	510334	Dixon Road Elementary	N	PK,0K,01,02,03,04,05	542	N/A	N/A	222	40.96	N	SW						2015-2016	N
860	Surry County	860312	Dobson Elementary	N	PK,0K,01,02,03,04,05	396	N/A	N/A	256	64.65	Y	SW-SW					2006-2007	2015-2016	N
800	Rowan County	800359	Dole Elementary	N	PK,0K,01,02,03,04,05	525	454	1.6	525	100.00	Y	SW-SW					2005-2006	2015-2016	Y
470	Hoke County	470310	Don D Steed Elementary	N	PK,0K,01,02,03,04,05	725	N/A	N/A	365	50.34	Y	SW-SW					2009-2010	2015-2016	N
761	Asheboro City	761321	Donna L Loflin Elementary	N	0K,01,02,03,04,05	386	N/A	N/A	323	83.68	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410398	Doris Henderson Newcomers Sch	N	03,04,05,06,07,08,09,10,11,12	316	N/A	N/A	180	56.96	Y	SW-SW					2006-2007	2015-2016	Y
260	Cumberland County	260322	Douglas Byrd High	N	09,10,11,12	1152	N/A	N/A	909	78.91	Y	SW-SW					2012-2013	2015-2016	N
260	Cumberland County	260321	Douglas Byrd Middle	N	06,07,08	698	457	1.6	698	100.00	Y	SW-SW					2004-2005	2015-2016	Y
920	Wake County	920396	Douglas Elementary	N	PK,0K,01,02,03,04,05	742	N/A	N/A	305	41.11	Y	SW-SW					2006-2007	2015-2016	N
65C	Douglass Academy	65C000	Douglass Academy	Y	0K,01,02,03,04	76	N/A	N/A	69	90.79	Y	SW-SW					2015-2016	2015-2016	N
790	Rockingham County	790318	Douglass Elementary	N	PK,0K,01,02,03,04,05	402	N/A	N/A	209	51.99	Y	SW-SW					2005-2006	2015-2016	Y
160	Carteret County	160332	Down East Middle and Smyrna Elementary	N	PK,0K,01,02,03,04,05,06,07,08	305	N/A	N/A	172	56.39	Y	SW-SW					2006-2007	2015-2016	N
320	Durham Public	320336	DPS Hospital School	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	67	N/A	N/A	23	34.33	N	Not Title I						2015-2016	N
650	New Hanover County	650353	Dr Hubert Eaton Sr Elem	N	0K,01,02,03,04,05	565	57	1.6	91	16.11	N	Not Title I						2015-2016	N
650	New Hanover County	650366	Dr John Codington Elem	N	0K,01,02,03,04,05	569	84	1.6	134	23.55	N	Not Title I						2015-2016	N
790	Rockingham County	790322	Draper Elementary	N	PK,0K,01,02,03,04,05	231	N/A	N/A	154	66.67	Y	SW-SW					2006-2007	2015-2016	Y
120	Burke County	120312	Drexel Elementary	N	PK,0K,01,02,03,04,05	506	182	1.6	291	57.51	Y	SW-SW					2005-2006	2015-2016	Y
600	Mecklenburg County	600374	Druid Hills Academy	N	PK,0K,01,02,03,04,05,06,07,08	705	N/A	N/A	600	85.11	Y	SW-SW					2002-2003	2015-2016	Y
090	Bladen County	090324	Dublin Primary	N	PK,0K,01,02,03,04	319	N/A	N/A	182	57.05	Y	SW-SW					2006-2007	2015-2016	Y
140	Caldwell County	140316	Dudley Shoals Elementary	N	PK,0K,01,02,03,04,05	488	177	1.6	283	57.99	Y	SW-SW					2006-2007	2015-2016	N
430	Harnett County	430332	Dunn Middle	N	06,07,08	418	N/A	N/A	323	77.27	N	SW						2015-2016	N
310	Duplin County	310338	Duplin Early College High	N	09,10,11,12,13	183	N/A	N/A	117	63.93	N	SW						2015-2016	N
920	Wake County	920398	Durant Road Elementary	N	PK,0K,01,02,03,04,05	1001	N/A	N/A	374	37.36	N	TAS						2015-2016	N
920	Wake County	920399	Durant Road Middle	N	06,07,08	1232	N/A	N/A	504	40.91	N	SW						2015-2016	N
320	Durham Public	320323	Durham School of the Arts	N	06,07,08,09,10,11,12	1656	N/A	N/A	641	38.71	N	TAS						2015-2016	N
320	Durham Public	320322	Durham's Performance Learning Center	N	09,10,11,12	229	N/A	N/A	116	50.66	N	SW						2015-2016	N
740	Pitt County	740337	E B Aycock Middle	N	06,07,08	726	N/A	N/A	471	64.88	N	SW						2015-2016	N
540	Lenoir County	540312	E B Frink Middle	N	06,07,08	565	N/A	N/A	268	47.43	Y	SW-SW					2002-2003	2015-2016	Y
260	Cumberland County	260398	E E Miller Elementary	N	PK,0K,01,02,03,04,05	549	N/A	N/A	345	62.84	Y	SW-SW					2005-2006	2015-2016	N
260	Cumberland County	260359	E E Smith High	N	09,10,11,12	1063	N/A	N/A	759	71.40	N	SW						2015-2016	N
310	Duplin County	310340	E E Smith Middle	N	PK,06,07,08	431	N/A	N/A	310	71.93	Y	SW-SW					2005-2006	2015-2016	N
580	Martin County	580312	E J Hayes Elementary	N	03,04,05	386	N/A	N/A	229	59.33	Y	SW-SW					2006-2007	2015-2016	Y
320	Durham Public	320363	E K Powe Elementary	N	PK,0K,01,02,03,04,05	454	N/A	N/A	275	60.57	Y	SW-SW					2002-2003	2015-2016	N
290	Davidson County	290322	E Lawson Brown Middle	N	06,07,08	727	N/A	N/A	379	52.13	Y	SW-SW					2015-2016	2015-2016	N
910	Vance County	910360	E M Rollins Elementary	N	PK,0K,01,02,03,04,05	454	N/A	N/A	323	71.15	Y	SW-SW					2004-2005	2015-2016	Y
010	Alamance-Burlington	010320	E M Yoder Elementary	N	PK,0K,01,02,03,04,05	329	N/A	N/A	145	44.07	N	SW						2015-2016	N
260	Cumberland County	260397	E Melvin Honeycutt Elementary	N	PK,0K,01,02,03,04,05	791	N/A	N/A	322	40.71	Y	SW-SW					2015-2016	2015-2016	N
910	Vance County	910346	E O Young Jr Elementary	N	PK,0K,01,02,03,04,05	249	N/A	N/A	149	59.84	Y	SW-SW					2006-2007	2015-2016	Y
110	Buncombe County	110322	Early College	N	09,10,11,12,13	262	N/A	N/A	115	43.89	N	SW						2015-2016	N
410	Guilford County	410395	Early College at Guilford	N	09,10,11,12	194	N/A	N/A	10	5.15	N	Not Title I						2015-2016	N
250	Craven County	250321	Early College EAST High	N	09,10,11,12,13	144	N/A	N/A	37	25.69	N	Not Title I						2015-2016	N
740	Pitt County	740500	Early College High School	N	09	75	N/A	N/A	54	72.00	N	SW						2015-2016	N
340	Forsyth County	340362	Early College of Forsyth Co	N	09,10,11,12	0	0	1.6	0	0.00	N	Not Title I						2015-2016	N
320	Durham Public	320313	Easley Elementary	N	0K,01,02,03,04,05	572	N/A	N/A	160	27.97	N	Not Title I						2015-2016	N
840	Stanly County	840316	East Albemarle Elementary	N	0K,01,02,03,04,05	359	282	1.6	359	100.00	Y	SW-SW					2002-2003	2015-2016	Y
020	Alexander County	020306	East Alexander Middle	N	06,07,08	671	N/A	N/A	394	58.72	N	SW						2015-2016	N
090	Bladen County	090328	East Arcadia Elementary	N	0K,01,02,03,04,05,06,07,08	137	N/A	N/A	84	61.31	Y	SW-SW					2006-2007	2015-2016	Y
990	Yadkin County	990312	East Bend Elementary	N	PK,0K,01,02,03,04,05,06	263	N/A	N/A	187	71.10	Y	SW-SW					2003-2004	2015-2016	N
090	Bladen County	090330	East Bladen High	N	09,10,11,12	636	N/A	N/A	312	49.06	N	SW						2015-2016	Y
120	Burke County	120314	East Burke High	N	09,10,11,12	947	220	1.6	352	37.17	N	TAS						2015-2016	N
120	Burke County	120315	East Burke Middle	N	06,07,08	723	223	1.6	357	49.38	N	SW						2015-2016	N
160	Carteret County	160313	East Carteret High	N	09,10,11,12	563	N/A	N/A	227	40.32	N	SW						2015-2016	N
920	Wake County	920402	East Cary Middle	N	06,07,08	953	N/A	N/A	283	29.70	N	Not Title I						2015-2016	N
681	Chapel Hill-Carrboro	681314	East Chapel Hill High	N	09,10,11,12	1559	N/A	N/A	279	17.90	N	Not Title I						2015-2016	N
510	Johnston County	510336	East Clayton Elementary	N	PK,0K,01,02,03,04,05	558	N/A	N/A	154	27.60	N	Not Title I						2015-2016	N
240	Columbus County	240334	East Columbus High	N	09,10,11,12	444	193	1.6	309	69.59	N	SW						2015-2016	N
290	Davidson County	290324	East Davidson High	N	09,10,11,12	748	N/A	N/A	306	40.91	N	SW						2015-2016	N
310	Duplin County	310344	East Duplin High	N	09,10,11,12	1033	N/A	N/A	499	48.31	N	SW						2015-2016	N
230	Cleveland County	230334	East Elementary	N	PK,0K,01,02,03,04	253	N/A	N/A	187	73.91	Y	SW-SW					2006-2007	2015-2016	N
900	Union County	900306	East Elementary	N	PK,0K,01,02,03,04,05	566	N/A	N/A	557	98.41	Y	SW-SW					2003-2004	2015-2016	N
580	Martin County	580316	East End Elementary	N	PK,0K,01,02,03,04,05	340	N/A	N/A	216	63.53	Y	SW-SW					2004-2005	2015-2016	Y
340	Forsyth County	340364	East Forsyth High	N	09,10,11,12	1838	395	1.6	632	34.39	N	Not Title I						2015-2016	N
340	Forsyth County	340366	East Forsyth Middle School	N	06,07,08	720	375	1.6	600	83.33	Y	SW-SW					2012-2013	2015-2016	N
560	Macon County	560316	East Franklin Elementary	N	0K,01,02,03,04	387	N/A	N/A	297	76.74	Y	SW-SW					2005-2006	2015-2016	Y
920	Wake County	920403	East Garner Elementary	N	PK,0K,01,02,03,04,05	661	N/A	N/A	547	82.75	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920404	East Garner Middle	N	06,07,08	1383	N/A	N/A	879	63.56	N	SW						2015-2016	N
360	Gaston County	360390	East Gaston High	N	09,10,11,12	1107	N/A	N/A	478	43.18	N	SW						2015-2016	N
450	Henderson County	450316	East Henderson High	N	09,10,11,12	959	N/A	N/A	480	50.05	N	SW						2015-2016	N
470	Hoke County	470332	East Hoke Middle	N	06,07,08	737	N/A	N/A	490	66.49	Y	SW-SW					2009-2010	2015-2016	N
490	Iredell County	490326	East Iredell Elementary	N	PK,0K,01,02,03,04,05	821	N/A	N/A	599	72.96	Y	SW-SW					2005-2006	2015-2016	N
490	Iredell County	490327	East Iredell Middle	N	06,07,08	519	N/A	N/A	378	72.83	N	SW						2015-2016	N
530	Lee County	530314	East Lee Middle	N	06,07,08	685	N/A	N/A	479	69.93	N	SW						2015-2016	N
550	Lincoln County	550320	East Lincoln High	N	09,10,11,12	887	168	1.6	269	30.33	N	Not Title I						2015-2016	N
550	Lincoln County	550322	East Lincoln Middle	N	06,07,08	692	140	1.6	224	32.37	N	Not Title I						2015-2016	N
590	McDowell County	590310	East McDowell Middle	N	06,07,08	726	347	1.6	555	76.45	N	SW						2015-2016	Y
600	Mecklenburg County	600377	East Mecklenburg High	N	09,10,11,12	1780	N/A	N/A	682	38.31	N	TAS						2015-2016	N
620	Montgomery County	620314	East Middle	N	06,07,08	500	N/A	N/A	427	85.40	Y	SW-SW					2015-2016	2015-2016	N
920	Wake County	920408	East Millbrook Middle	N	06,07,08	985	N/A	N/A	678	68.83	N	SW						2015-2016	N
620	Montgomery County	620316	East Montgomery High	N	09,10,11,12	607	N/A	N/A	415	68.37	N	SW						2015-2016	N
491	Mooresville City	491303	East Mooresville Intermediate	N	04,05,06	625	N/A	N/A	239	38.24	Y	TAS-SW		Waiver Provided			2012-2013	2015-2016	N
780	Robeson County	780322	East Robeson Primary	N	PK,0K,01,02,03	666	374	1.6	598	89.79	Y	SW-SW					2006-2007	2015-2016	Y
770	Richmond County	770310	East Rockingham Elementary	N	PK,0K,01,02,03,04,05	574	403	1.6	574	100.00	Y	SW-SW					2010-2011	2015-2016	Y
800	Rowan County	800340	East Rowan High	N	09,10,11,12	1006	N/A	N/A	450	44.73	N	SW						2015-2016	N
810	Rutherford County	810340	East Rutherford High School	N	09,10,11,12	670	N/A	N/A	248	37.01	N	TAS						2015-2016	Y
810	Rutherford County	810342	East Rutherford Middle School	N	06,07,08	601	N/A	N/A	299	49.75	N	SW						2015-2016	Y
860	Surry County	860316	East Surry High	N	09,10,11,12	630	N/A	N/A	276	43.81	N	SW						2015-2016	N
900	Union County	900308	East Union Middle	N	06,07,08	887	N/A	N/A	679	76.55	N	SW						2015-2016	N
92G	East Wake Academy	92G000	East Wake Academy	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	1135	N/A	N/A	188	16.56	Y	TAS-TAS	Charter School		25	02,03,04	2009-2010	2015-2016	N
920	Wake County	920411	East Wake High	N	09,10,11,12	1426	N/A	N/A	850	59.61	N	SW						2015-2016	N
920	Wake County	920410	East Wake Middle	N	06,07,08	923	N/A	N/A	660	71.51	N	SW						2015-2016	N
970	Wilkes County	970320	East Wilkes High	N	09,10,11,12	528	N/A	N/A	160	30.30	N	Not Title I						2015-2016	Y
970	Wilkes County	970322	East Wilkes Middle	N	06,07,08	424	N/A	N/A	160	37.74	N	TAS						2015-2016	Y
995	Yancey County	995324	East Yancey Middle	N	06,07,08	295	N/A	N/A	183	62.03	Y	SW-SW					2006-2007	2015-2016	N
010	Alamance-Burlington	010324	Eastern Alamance High	N	09,10,11,12	1217	N/A	N/A	470	38.62	N	TAS						2015-2016	N
070	Beaufort County	070302	Eastern Elementary	N	PK,0K,01	589	344	1.6	550	93.38	Y	SW-SW					2006-2007	2015-2016	Y
740	Pitt County	740336	Eastern Elementary	N	0K,01,02,03,04,05	694	N/A	N/A	448	64.55	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410358	Eastern Guilford High	N	09,10,11,12	1141	N/A	N/A	481	42.16	N	SW						2015-2016	N
410	Guilford County	410460	Eastern Guilford Middle	N	06,07,08	905	N/A	N/A	412	45.52	Y	SW-SW					2011-2012	2015-2016	Y
760	Randolph County	760318	Eastern Randolph High	N	09,10,11,12	818	N/A	N/A	490	59.90	N	SW						2015-2016	N
960	Wayne County	960329	Eastern Wayne Elementary	N	PK,0K,01,02,03,04,05	756	455	1.6	728	96.30	Y	SW-SW					2002-2003	2015-2016	Y
960	Wayne County	960330	Eastern Wayne High	N	09,10,11,12	989	N/A	N/A	518	52.38	N	SW						2015-2016	N
960	Wayne County	960331	Eastern Wayne Middle	N	06,07,08	609	N/A	N/A	396	65.02	Y	SW-SW					2015-2016	2015-2016	N
590	McDowell County	590306	Eastfield Global Magnet 	N	PK,0K,01,02,03,04,05	383	253	1.6	383	100.00	Y	SW-SW					2005-2006	2015-2016	Y
010	Alamance-Burlington	010326	Eastlawn Elementary	N	PK,0K,01,02,03,04,05	570	399	1.6	570	100.00	Y	SW-SW					2002-2003	2015-2016	Y
340	Forsyth County	340368	Easton Elementary School	N	PK,0K,01,02,03,04,05	559	446	1.6	559	100.00	Y	SW-SW					2005-2006	2015-2016	Y
600	Mecklenburg County	600379	Eastover Elementary	N	0K,01,02,03,04,05	466	N/A	N/A	95	20.39	N	Not Title I						2015-2016	N
260	Cumberland County	260332	Eastover-Central Elementary	N	PK,0K,01,02,03,04,05	431	N/A	N/A	137	31.79	N	Not Title I						2015-2016	N
320	Durham Public	320310	Eastway Elementary	N	PK,0K,01,02,03,04,05	592	419	1.6	592	100.00	Y	SW-SW					2001-2002	2015-2016	Y
600	Mecklenburg County	600381	Eastway Middle	N	06,07,08	955	N/A	N/A	631	66.07	Y	SW-SW					2002-2003	2015-2016	Y
910	Vance County	910316	Eaton-Johnson Middle	N	06,07,08	491	N/A	N/A	333	67.82	Y	SW-SW					2009-2010	2015-2016	Y
110	Buncombe County	110451	Eblen Intermediate	N	05,06	719	N/A	N/A	538	74.83	Y	SW-SW					2013-2014	2015-2016	N
260	Cumberland County	260370	Ed V Baldwin Elementary	N	PK,0K,01,02,03,04,05	667	N/A	N/A	396	59.37	Y	SW-SW					2005-2006	2015-2016	N
330	Edgecombe County	330326	Edgecombe Early College High	N	09,10,11,12,13	149	N/A	N/A	41	27.52	N	Not Title I						2015-2016	N
960	Wayne County	960332	Edgewood Cmty Developmental	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12	167	N/A	N/A	99	59.28	N	SW						2015-2016	N
241	Whiteville City	241308	Edgewood Elementary	N	03,04,05	477	291	1.6	466	97.69	Y	SW-SW					2004-2005	2015-2016	Y
580	Martin County	580320	Edna Andrews Elementary	N	PK,0K,01,02,03,04,05	156	N/A	N/A	98	62.82	Y	SW-SW					2006-2007	2015-2016	Y
450	Henderson County	450322	Edneyville Elementary	N	0K,01,02,03,04,05	501	N/A	N/A	379	75.65	Y	SW-SW					2006-2007	2015-2016	N
350	Franklin County	350316	Edward Best Elementary	N	PK,0K,01,02,03,04,05	475	232	1.6	371	78.11	Y	SW-SW					2006-2007	2015-2016	Y
360	Gaston County	360392	Edward D Sadler Jr  Elementary School	N	PK,0K,01,02,03,04,05	577	430	1.6	577	100.00	Y	SW-SW					2005-2006	2015-2016	Y
410	Guilford County	410307	Edwin A Alderman Elementary	N	PK,0K,01,02,03,04,05	410	N/A	N/A	220	53.66	Y	SW-SW					2005-2006	2015-2016	Y
650	New Hanover County	650324	Edwin A Alderman Elementary	N	0K,01,02,03,04,05	269	162	1.6	259	96.28	Y	SW-SW					2006-2007	2015-2016	Y
650	New Hanover County	650323	Edwin A Anderson Elementary	N	0K,01,02,03,04,05	646	173	1.6	277	42.88	Y	SW-SW					2012-2013	2015-2016	N
010	Alamance-Burlington	010328	Edwin M Holt Elementary	N	0K,01,02,03,04,05	643	N/A	N/A	253	39.35	N	TAS						2015-2016	N
680	Orange County	680324	Efland Cheeks Elementary	N	PK,0K,01,02,03,04,05	452	N/A	N/A	274	60.62	Y	SW-SW					2009-2010	2015-2016	N
630	Moore County	630320	Elise Middle	N	06,07,08	215	N/A	N/A	199	92.56	Y	SW-SW					2005-2006	2015-2016	N
700	Pasquotank County	700308	Elizabeth City Middle	N	06,07,08	658	N/A	N/A	444	67.48	Y	SW-SW					2015-2016	2015-2016	N
600	Mecklenburg County	600382	Elizabeth Lane Elem	N	0K,01,02,03,04,05	937	N/A	N/A	56	5.98	N	Not Title I						2015-2016	N
260	Cumberland County	260326	Elizabeth M Cashwell Elementary	N	PK,0K,01,02,03,04,05	673	432	1.6	673	100.00	Y	SW-SW					2004-2005	2015-2016	Y
600	Mecklenburg County	600384	Elizabeth Traditional Elem	N	0K,01,02,03,04,05	531	N/A	N/A	179	33.71	N	Not Title I						2015-2016	N
090	Bladen County	090332	Elizabethtown Middle	N	05,06,07,08	391	N/A	N/A	246	62.92	Y	SW-SW					2002-2003	2015-2016	Y
090	Bladen County	090333	Elizabethtown Primary	N	PK,0K,01,02,03,04	548	N/A	N/A	342	62.41	Y	SW-SW					2004-2005	2015-2016	Y
861	Elkin City	861304	Elkin Elementary	N	PK,0K,01,02,03,04,05,06	664	N/A	N/A	291	43.83	Y	SW-SW					2006-2007	2015-2016	N
861	Elkin City	861308	Elkin High	N	09,10,11,12	400	N/A	N/A	142	35.50	N	TAS						2015-2016	N
861	Elkin City	861312	Elkin Middle	N	07,08	193	N/A	N/A	91	47.15	N	SW						2015-2016	N
810	Rutherford County	810344	Ellenboro Elementary School	N	PK,0K,01,02,03,04,05	619	N/A	N/A	297	47.98	Y	SW-SW					2006-2007	2015-2016	Y
020	Alexander County	020308	Ellendale Elementary	N	PK,0K,01,02,03,04,05	318	N/A	N/A	173	54.40	Y	SW-SW					2006-2007	2015-2016	N
770	Richmond County	770316	Ellerbe Middle	N	06,07,08	205	109	1.6	174	84.88	Y	SW-SW					2010-2011	2015-2016	Y
980	Wilson County	980320	Elm City Elementary	N	0K,01,02,03,04,05	347	182	1.6	291	83.86	Y	SW-SW					2006-2007	2015-2016	Y
980	Wilson County	980324	Elm City Middle	N	06,07,08	443	N/A	N/A	232	52.37	N	SW						2015-2016	N
740	Pitt County	740338	Elmhurst Elementary	N	0K,01,02,03,04,05	405	N/A	N/A	302	74.57	Y	SW-SW					2006-2007	2015-2016	N
010	Alamance-Burlington	010340	Elon Elementary	N	PK,0K,01,02,03,04,05	723	N/A	N/A	203	28.08	N	Not Title I						2015-2016	N
600	Mecklenburg County	600383	Elon Park Elementary	N	0K,01,02,03,04,05	1125	N/A	N/A	46	4.09	N	Not Title I						2015-2016	N
650	New Hanover County	650325	Emma B Trask Middle	N	06,07,08	729	203	1.6	325	44.58	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110348	Emma Elementary	N	0K,01,02,03,04	429	253	1.6	405	94.41	Y	SW-SW					2006-2007	2015-2016	Y
650	New Hanover County	650326	Emsley A Laney High	N	09,10,11,12	2078	539	1.6	862	41.48	N	SW						2015-2016	N
92S	Endeavor Charter	92S000	Endeavor Charter	Y	0K,01,02,03,04,05,06,07,08	511	N/A	N/A	0	0.00	N	Not Title I						2015-2016	N
600	Mecklenburg County	600385	Endhaven Elementary	N	PK,0K,01,02,03,04,05	764	N/A	N/A	153	20.03	N	Not Title I						2015-2016	N
840	Stanly County	840312	Endy Elementary	N	0K,01,02,03,04,05	317	N/A	N/A	149	47.00	Y	SW-SW					2012-2013	2015-2016	N
420	Halifax County	420324	Enfield Middle	N	06,07,08	321	224	1.6	321	100.00	Y	SW-SW					2001-2002	2015-2016	Y
640	Nash-Rocky Mount	640328	Englewood Elementary	N	03,04,05	494	340	1.6	494	100.00	Y	SW-SW					2006-2007	2015-2016	Y
110	Buncombe County	110352	Enka High	N	09,10,11,12	1192	N/A	N/A	616	51.68	N	SW						2015-2016	N
110	Buncombe County	110401	Enka Middle	N	06,07,08	989	N/A	N/A	626	63.30	N	SW						2015-2016	N
920	Wake County	920412	Enloe High	N	09,10,11,12	2630	N/A	N/A	928	35.29	N	TAS						2015-2016	N
320	Durham Public	320315	Eno Valley Elementary	N	PK,0K,01,02,03,04,05	571	N/A	N/A	454	79.51	Y	SW-SW					2005-2006	2015-2016	N
800	Rowan County	800348	Enochville Elementary	N	0K,01,02,03,04,05	410	N/A	N/A	224	54.63	Y	SW-SW					2006-2007	2015-2016	N
92Y	Envision Science Academy	92Y000	Envision Science Academy	Y	0K,01,02,03,04,05,06,07	238	N/A	N/A	3	1.26	N	Not Title I						2015-2016	N
410	Guilford County	410491	EP Pearce Elementary	N	PK,0K,01,02,03,04,05	686	N/A	N/A	67	9.77	N	Not Title I						2015-2016	N
681	Chapel Hill-Carrboro	681311	Ephesus Elementary	N	PK,0K,01,02,03,04,05	489	N/A	N/A	122	24.95	N	Not Title I						2015-2016	N
430	Harnett County	430336	Erwin Elementary	N	03,04,05	262	N/A	N/A	190	72.52	Y	SW-SW					2003-2004	2015-2016	N
110	Buncombe County	110340	Erwin High	N	09,10,11,12	1240	N/A	N/A	789	63.63	N	SW						2015-2016	N
110	Buncombe County	110342	Erwin Middle	N	07,08	819	N/A	N/A	607	74.11	N	SW						2015-2016	N
800	Rowan County	800314	Erwin Middle	N	06,07,08	920	N/A	N/A	467	50.76	N	SW						2015-2016	N
410	Guilford County	410361	Erwin Montessori	N	PK,0K,01,02,03,04,05	340	N/A	N/A	140	41.18	N	SW						2015-2016	N
110	Buncombe County	110422	Estes Elementary	N	0K,01,02,03,04,05	728	N/A	N/A	381	52.34	Y	SW-SW					2009-2010	2015-2016	N
681	Chapel Hill-Carrboro	681312	Estes Hills Elementary	N	PK,0K,01,02,03,04,05	546	N/A	N/A	148	27.11	Y	TAS-TAS	125% Rule		45	0K,01,02,03,04,05	2006-2007	2015-2016	N
450	Henderson County	450324	Etowah Elementary	N	0K,01,02,03,04,05	410	N/A	N/A	237	57.80	Y	SW-SW					2006-2007	2015-2016	N
650	New Hanover County	650327	Eugene Ashley High	N	09,10,11,12	1758	483	1.6	773	43.97	N	SW						2015-2016	N
420	Halifax County	420328	Everetts Elementary	N	PK,0K,01,02,03,04,05	322	251	1.6	322	100.00	Y	SW-SW					2005-2006	2015-2016	Y
11A	Evergreen Community Charter	11A000	Evergreen Community Charter	Y	0K,01,02,03,04,05,06,07,08	437	N/A	N/A	180	41.19	Y	SW-SW					2006-2007	2015-2016	N
240	Columbus County	240344	Evergreen Elementary	N	PK,0K,01,02,03,04,05,06,07,08	292	179	1.6	286	97.95	Y	SW-SW					2006-2007	2015-2016	Y
32R	Excelsior Classical Academy	32R000	Excelsior Classical Academy	Y	0K,01,02,03,04	250	N/A	N/A	43	17.20	N	Not Title I						2015-2016	N
290	Davidson County	290328	Fair Grove Elementary	N	PK,0K,01,02,03,04,05	532	N/A	N/A	299	56.20	Y	SW-SW					2009-2010	2015-2016	N
780	Robeson County	780324	Fairgrove Middle	N	04,05,06,07,08	293	163	1.6	261	89.08	Y	SW-SW					2004-2005	2015-2016	Y
780	Robeson County	780325	Fairmont High	N	09,10,11,12	748	384	1.6	614	82.09	N	SW						2015-2016	Y
780	Robeson County	780326	Fairmont Middle	N	05,06,07,08	365	243	1.6	365	100.00	Y	SW-SW					2004-2005	2015-2016	Y
