"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
330	Edgecombe County	330358	Tarboro High	N	09,10,11,12	605	N/A	N/A	267	44.13	N	SW						2015-2016	Y
020	Alexander County	020328	Taylorsville Elementary	N	PK,0K,01,02,03,04,05	279	227	1.6	279	100.00	Y	SW-SW					2006-2007	2015-2016	Y
260	Cumberland County	260444	Teresa C Berrien Elementary	N	0K,01,02,03,04,05	168	150	1.6	168	100.00	Y	SW-SW					2006-2007	2015-2016	Y
350	Franklin County	350338	Terrell Lane Middle	N	06,07,08	461	222	1.6	355	77.01	Y	SW-SW					2015-2016	2015-2016	Y
260	Cumberland County	260446	Terry Sanford High	N	09,10,11,12	1291	N/A	N/A	595	46.09	N	SW						2015-2016	N
410	Guilford County	410407	The Academy at Central	N	09,10,11,12	133	N/A	N/A	55	41.35	N	SW						2015-2016	Y
410	Guilford County	410545	The Academy at Smith	N	09,10,11,12	221	N/A	N/A	74	33.48	N	Not Title I						2015-2016	N
63A	The Academy of Moore County	63A000	The Academy of Moore County	Y	0K,01,02,03,04,05	217	N/A	N/A	96	44.24	Y	SW-SW					2009-2010	2015-2016	Y
34G	The Arts Based School	34G000	The Arts Based School	Y	0K,01,02,03,04,05,06,07,08	511	N/A	N/A	71	13.89	Y	TAS-TAS	Charter School		20	01,02,03,04	2011-2012	2015-2016	N
26C	The Capitol Encore Academy	26C000	The Capitol Encore Academy	Y	0K,01,02,03,04,05,06	212	N/A	N/A	97	45.75	Y	SW-SW					2014-2015	2015-2016	N
630	Moore County	630330	The Community Learning Center @ Pinckney	N	07,08,09,10,11,12	59	N/A	N/A	46	77.97	N	SW						2015-2016	N
340	Forsyth County	340354	The Downtown School	N	PK,0K,01,02,03,04,05,06,07,08	437	27	1.6	43	9.84	N	Not Title I						2015-2016	N
68C	The Expedition School	68C000	The Expedition School	Y	0K,01,02,03,04,05,06,07	290	N/A	N/A	9	3.10	Y	TAS-SW	Charter School	Always SW			2014-2015	2015-2016	N
92B	The Exploris School	92B000	The Exploris School	Y	0K,01,02,03,04,05,06,07,08	422	N/A	N/A	30	7.11	N	Not Title I						2015-2016	N
