Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	291LEA	A		0.4	0.429	0.227	0.43
0-3 Years	2016	291LEA	E		0.248	0.429	0.227	0.43
0-3 Years	2016	291LEA	H		0.283	0.429	0.231	0.43
0-3 Years	2016	291LEA	M		0.385	0.429	0.244	0.43
0-3 Years	2016	292LEA	E		0.345	0.5	0.227	0.43
0-3 Years	2016	292LEA	H		0.235	0.5	0.231	0.43
0-3 Years	2016	292LEA	M		0.324	0.5	0.244	0.43
0-3 Years	2016	300LEA	E		0.224	0.583	0.227	0.43
0-3 Years	2016	300LEA	H		0.296	0.583	0.231	0.43
0-3 Years	2016	300LEA	M		0.123	0.583	0.244	0.43
0-3 Years	2016	300LEA	T		0	0.583	0.253	0.43
0-3 Years	2016	310LEA	E		0.356	0.438	0.227	0.43
0-3 Years	2016	310LEA	H		0.285	0.438	0.231	0.43
0-3 Years	2016	310LEA	I		0.157	0.438	0.255	0.43
0-3 Years	2016	310LEA	M		0.443	0.438	0.244	0.43
0-3 Years	2016	310LEA	T		0.265	0.438	0.253	0.43
0-3 Years	2016	320LEA	A		0.087	0.333	0.227	0.43
0-3 Years	2016	320LEA	E		0.302	0.333	0.227	0.43
0-3 Years	2016	320LEA	H		0.336	0.333	0.231	0.43
0-3 Years	2016	320LEA	M		0.368	0.333	0.244	0.43
0-3 Years	2016	320LEA	T		0.241	0.333	0.253	0.43
0-3 Years	2016	330LEA	E		0.239	0.929	0.227	0.43
0-3 Years	2016	330LEA	H		0.19	0.929	0.231	0.43
0-3 Years	2016	330LEA	I		0.487	0.929	0.255	0.43
0-3 Years	2016	330LEA	M		0.353	0.929	0.244	0.43
0-3 Years	2016	330LEA	T			0.929	0.253	0.43
0-3 Years	2016	340LEA	A		0.184	0.228	0.227	0.43
0-3 Years	2016	340LEA	E		0.194	0.228	0.227	0.43
0-3 Years	2016	340LEA	H		0.198	0.228	0.231	0.43
0-3 Years	2016	340LEA	I		0.162	0.228	0.255	0.43
0-3 Years	2016	340LEA	M		0.206	0.228	0.244	0.43
0-3 Years	2016	340LEA	T		0.344	0.228	0.253	0.43
0-3 Years	2016	350LEA	E		0.268	0.5	0.227	0.43
0-3 Years	2016	350LEA	H		0.285	0.5	0.231	0.43
0-3 Years	2016	350LEA	M		0.321	0.5	0.244	0.43
0-3 Years	2016	360LEA	A		0.28	0.327	0.227	0.43
0-3 Years	2016	360LEA	E		0.212	0.327	0.227	0.43
0-3 Years	2016	360LEA	H		0.242	0.327	0.231	0.43
