year	unit_code	category_cd	total_expense_num	salary_expense_pct	benefits_expense_pct	services_expense_pct	supplies_expense_pct	instruct_equip_exp_pct	other_expense_pct	federal_perpupil_num	local_perpupil_num	state_perpupil_num	lea_total_expense_num	lea_salary_expense_pct	lea_benefits_expense_pct	lea_services_expense_pct	lea_supplies_expense_pct	lea_instruct_equip_exp_pct	lea_other_expense_pct	lea_federal_perpupil_num	lea_local_perpupil_num	lea_state_perpupil_num	st_total_expense_num	st_salary_expense_pct	st_benefits_expense_pct	st_services_expense_pct	st_supplies_expense_pct	st_instruct_equip_exp_pct	st_other_expense_pct	st_federal_perpupil_num	st_local_perpupil_num	st_state_perpupil_num	building_expense_pct	lea_building_expense_pct	st_building_expense_pct
2013	260370	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260368	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260367	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260326	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260322	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260320	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260310	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260308	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260358	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260398	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260418	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260405	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260338	E											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260325	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260318	H											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	260383	M											8172.97	0.65	0.211	0.056	0.073	0.01	0	1312.7	1808.33	5051.94	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	050330	E											9450.36	0.605	0.211	0.064	0.109	0.011	0	1204.29	1763.36	6482.71	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	050302	H											9450.36	0.605	0.211	0.064	0.109	0.011	0	1204.29	1763.36	6482.71	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	050335	E											9450.36	0.605	0.211	0.064	0.109	0.011	0	1204.29	1763.36	6482.71	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	050305	M											9450.36	0.605	0.211	0.064	0.109	0.011	0	1204.29	1763.36	6482.71	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	050310	E											9450.36	0.605	0.211	0.064	0.109	0.011	0	1204.29	1763.36	6482.71	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100338	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100307	H											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100309	M											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100302	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100304	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100339	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100332	M											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100335	M											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100336	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100320	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100342	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100308	T											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100334	H											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100316	M											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100340	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100310	E											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100326	H											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100348	H											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	100344	I											8999.79	0.615	0.207	0.093	0.084	0.001	0	1120.39	2621.74	5257.66	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	13A000	A	6479.66	0.492	0.172	0.201	0.067	0.068	0	158.21	1538.18	4783.27											8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
2013	132312	E											9149.32	0.588	0.199	0.129	0.079	0.005	0	1530.1	2295.35	5323.87	8497.6	0.619	0.203	0.084	0.086	0.006	0	1007.57	2094.72	5395.31			
