LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
70,Beaufort County Schools,70342,Washington High,Washington High,09:10:11:12,Regular School,None,2018-19
80,Bertie County Schools,80311,Bertie Early College High,Bertie Early College High,09:10:11:12:13,Regular School,Early College,2018-19
80,Bertie County Schools,80312,Bertie High,Bertie High,09:10:11:12,Regular School,None,2018-19
80,Bertie County Schools,80314,Bertie Middle,Bertie Middle,06:07:08,Regular School,None,2018-19
80,Bertie County Schools,80348,Aulander Elementary,Aulander Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
80,Bertie County Schools,80356,West Bertie Elementary,West Bertie Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
80,Bertie County Schools,80360,Colerain Elementary,Colerain Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
80,Bertie County Schools,80362,Windsor Elementary,Windsor Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
90,Bladen County Schools,90315,Bladenboro Middle,Bladenboro Middle,05:06:07:08,Regular School,None,2018-19
90,Bladen County Schools,90317,Bladenboro Primary,Bladenboro Primary,PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90318,Bladen Lakes Primary,Bladen Lakes Primary,PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90320,Clarkton School of Discovery,Clarkton School of Discovery,05:06:07:08,Regular School,None,2018-19
90,Bladen County Schools,90324,Dublin Primary,Dublin Primary,PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90328,East Arcadia Elementary,East Arcadia Elementary,PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90330,East Bladen High,East Bladen High,09:10:11:12,Regular School,None,2018-19
90,Bladen County Schools,90332,Elizabethtown Middle,Elizabethtown Middle,05:06:07:08,Regular School,None,2018-19
90,Bladen County Schools,90333,Elizabethtown Primary,Elizabethtown Primary,P3:PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90352,Plain View Primary,Plain View Primary,PK:KG:01:02:03:04,Regular School,None,2018-19
90,Bladen County Schools,90365,Tar Heel Middle,Tar Heel Middle,05:06:07:08,Regular School,None,2018-19
90,Bladen County Schools,90368,West Bladen High,West Bladen High,09:10:11:12,Regular School,None,2018-19
90,Bladen County Schools,90376,Bladen Early College,Bladen Early College,09:10,Regular School,Cooperative Innovative High School,2018-19
100,Brunswick County Schools,100302,Belville Elementary,Belville Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100304,Bolivia Elementary,Bolivia Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100307,Brunswick County Early College,Brunswick County Early College High School,09:10:11:12:13,Regular School,Early College,2018-19
100,Brunswick County Schools,100308,The COAST,The Center of Applied Sciences and Technology,06:07:08:09:10:11:12,Alternative Education,None,2018-19
100,Brunswick County Schools,100309,Cedar Grove Middle,Cedar Grove Middle,06:07:08,Regular School,None,2018-19
100,Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Jessie Mae Monroe Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100316,Leland Middle,Leland Middle,06:07:08,Regular School,None,2018-19
100,Brunswick County Schools,100320,Lincoln Elementary,Lincoln Elementary,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100326,North Brunswick High,North Brunswick High,09:10:11:12,Regular School,None,2018-19
100,Brunswick County Schools,100332,Shallotte Middle,Shallotte Middle,06:07:08,Regular School,None,2018-19
100,Brunswick County Schools,100334,South Brunswick High,South Brunswick High,09:10:11:12,Regular School,None,2018-19
100,Brunswick County Schools,100335,South Brunswick Middle,South Brunswick Middle,06:07:08,Regular School,None,2018-19
100,Brunswick County Schools,100336,Southport Elementary,Southport Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100338,Supply Elementary,Supply Elementary,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100339,Town Creek Elementary,Town Creek Elementary,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100340,Union Elementary,Union Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100342,Virginia Williamson Elem,Virginia Williamson Elem,P2:P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
100,Brunswick County Schools,100344,Waccamaw,Waccamaw,KG:01:02:03:04:05:06:07:08,Regular School,None,2018-19
100,Brunswick County Schools,100348,West Brunswick High,West Brunswick High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110303,Community High School,Community High School,09:10:11:12,Alternative Education,None,2018-19
110,Buncombe County Schools,110304,Reynolds High,A C Reynolds High,09:10:11:12,Regular School,None,2018-19
110,Buncombe County Schools,110306,Reynolds Middle,A C Reynolds Middle,06:07:08,Regular School,None,2018-19
