"LEA Code"	"LEA Name"	"School Code"	"School Name"	"Charter School"	Current Grades	"Total Enrollment"	"# Identified Students"	Multiplier	"# Low Income Students"	"Percent Low Income Students"	"School Served"	"Eligibility Model"	"Eligibility Justification"	"Program Justification"	"# Students Served TAS"	"Grades Served TAS"	"Served 1st Year"	"School Year"
080	Bertie County Schools	080348	Aulander Elementary	N	PK,0K,01,02,03,04,05	142	N/A	N/A	142	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
420	Halifax County Schools	420304	Aurelian Springs Elementary	N	PK,0K,01,02,03,04,05	337	N/A	N/A	337	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
920	Wake County Schools	920320	Aversboro Elementary	N	PK,0K,01,02,03,04,05	610	N/A	N/A	370	60.66	Y	SW-SW	 	 		 	2006-2007	2016-2017
060	Avery County Schools	060302	Avery County High	N	09,10,11,12	390	N/A	N/A	230	58.97	N	SW	 	 		 	 	2016-2017
060	Avery County Schools	060700	Avery High STEM Academy	N	09,10,11,12	127	N/A	N/A	58	45.67	N	SW	 	 		 	 	2016-2017
060	Avery County Schools	060701	Avery High Viking Academy	N	09	89	N/A	N/A	55	61.8	N	SW	 	 		 	2016-2017	2016-2017
060	Avery County Schools	060318	Avery Middle	N	06,07,08	287	N/A	N/A	169	58.89	Y	SW-SW	 	 		 	2009-2010	2016-2017
110	Buncombe County Schools	110410	Avery's Creek Elementary	N	0K,01,02,03,04	615	N/A	N/A	437	71.06	Y	SW-SW	 	 		 	2005-2006	2016-2017
910	Vance County Schools	910304	Aycock Elementary	N	PK,0K,01,02,03,04,05	384	N/A	N/A	238	61.98	Y	SW-SW	 	 		 	2006-2007	2016-2017
410	Guilford County Schools	410325	Aycock Middle	N	06,07,08	618	N/A	N/A	332	53.72	Y	SW-SW	 	 		 	2009-2010	2016-2017
740	Pitt County Schools	740304	Ayden Elementary	N	PK,0K,01,02,03,04,05	688	N/A	N/A	463	67.3	Y	SW-SW	 	 		 	2006-2007	2016-2017
740	Pitt County Schools	740308	Ayden Middle	N	06,07,08	327	N/A	N/A	218	66.67	N	SW	 	 		 	 	2016-2017
740	Pitt County Schools	740309	Ayden-Grifton High	N	09,10,11,12	676	N/A	N/A	401	59.32	N	SW	 	 		 	 	2016-2017
070	Beaufort County Schools	070310	B C Ed Tech Center	N	06,07,08,09,10,11,12	102	71	1.6	102	100	N	SW	 	 		 	 	2016-2017
010	Alamance-Burlington Schools	010346	B Everett Jordan Elem	N	0K,01,02,03,04,05	400	N/A	N/A	253	63.25	Y	SW-SW	 	 		 	2006-2007	2016-2017
310	Duplin County Schools	310304	B F Grady Elementary	N	PK,0K,01,02,03,04,05,06,07,08	952	N/A	N/A	793	83.3	Y	SW-SW	 	 		 	2005-2006	2016-2017
980	Wilson County Schools	980308	B O Barnes Elementary	N	0K,01,02,03,04,05	399	314	1.6	399	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
090	Bladen County Schools	090304	B T Washington Primary	N	PK,0K,01,02,03,04,05	213	171	1.6	213	100	Y	SW-SW	 	 		 	2004-2005	2016-2017
840	Stanly County Schools	840308	Badin Elementary	N	0K,01,02,03,04,05	447	N/A	N/A	269	60.18	Y	SW-SW	 	 		 	2002-2003	2016-2017
640	Nash-Rocky Mount Schools	640304	Bailey Elementary	N	PK,0K,01,02,03,04,05	645	N/A	N/A	516	80	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600313	Bailey Middle	N	06,07,08	1584	N/A	N/A	189	11.93	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920326	Baileywick Road Elementary	N	PK,0K,01,02,03,04,05	482	N/A	N/A	287	59.54	Y	SW-SW	 	 		 	2009-2010	2016-2017
600	Charlotte-Mecklenburg Schools	600314	Bain Elementary	N	0K,01,02,03,04,05	964	N/A	N/A	116	12.03	N	Not Title I	 	 		 	 	2016-2017
995	Yancey County Schools	995304	Bald Creek Elementary	N	PK,0K,01,02,03,04,05	161	N/A	N/A	94	58.39	Y	SW-SW	 	 		 	2006-2007	2016-2017
450	Henderson County Schools	450343	Balfour Education Center	N	06,07,08,09,10,11,12	162	132	1.6	162	100	N	SW	 	 		 	 	2016-2017
761	Asheboro City Schools	761312	Balfour Elementary	N	PK,0K,01,02,03,04,05	542	N/A	N/A	488	90.04	Y	SW-SW	 	 		 	2004-2005	2016-2017
600	Charlotte-Mecklenburg Schools	600437	Ballantyne Elementary	N	0K,01,02,03,04,05	889	N/A	N/A	75	8.44	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920327	Ballentine Elementary	N	PK,0K,01,02,03,04,05	500	N/A	N/A	184	36.8	N	TAS	 	 		 	 	2016-2017
180	Catawba County Schools	180304	Balls Creek Elementary	N	PK,0K,01,02,03,04,05,06	574	N/A	N/A	298	51.92	Y	SW-SW	 	 		 	2013-2014	2016-2017
180	Catawba County Schools	180308	Bandys High	N	09,10,11,12	845	N/A	N/A	278	32.9	N	Not Title I	 	 		 	 	2016-2017
540	Lenoir County Public Schools	540304	Banks Elementary	N	PK,0K,01,02,03,04,05	586	N/A	N/A	265	45.22	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920325	Banks Road Elementary	N	PK,0K,01,02,03,04,05	731	N/A	N/A	266	36.39	N	TAS	 	 		 	 	2016-2017
060	Avery County Schools	060304	Banner Elk Elementary	N	PK,0K,01,02,03,04,05	173	N/A	N/A	99	57.23	Y	SW-SW	 	 		 	2009-2010	2016-2017
180	Catawba County Schools	180312	Banoak Elementary	N	0K,01,02,03,04,05,06	291	N/A	N/A	168	57.73	Y	SW-SW	 	 		 	2006-2007	2016-2017
110	Buncombe County Schools	110308	Barnardsville Elementary	N	0K,01,02,03,04	155	N/A	N/A	111	71.61	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600328	Barnette Elementary	N	PK,0K,01,02,03,04,05	737	N/A	N/A	119	16.15	N	Not Title I	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600316	Barringer Academic Center	N	0K,01,02,03,04,05	602	N/A	N/A	264	43.85	Y	SW-SW	 	 		 	2015-2016	2016-2017
170	Caswell County Schools	170316	Bartlett Yancey High	N	09,10,11,12	805	N/A	N/A	498	61.86	N	SW	 	 		 	 	2016-2017
920	Wake County Schools	920329	Barwell Road Elementary	N	PK,0K,01,02,03,04,05	870	N/A	N/A	717	82.41	Y	SW-SW	 	 		 	2006-2007	2016-2017
640	Nash-Rocky Mount Schools	640306	Baskerville Elementary	N	0K,01,02,03,04,05	385	385	1.6	385	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
070	Beaufort County Schools	070308	Bath Elementary	N	0K,01,02,03,04,05,06,07,08	583	157	1.6	251	43.05	Y	SW-SW	 	 		 	2005-2006	2016-2017
140	Caldwell County Schools	140304	Baton Elementary	N	PK,0K,01,02,03,04,05	422	182	1.6	291	68.96	Y	SW-SW	 	 		 	2006-2007	2016-2017
550	Lincoln County Schools	550312	Battleground Elementary	N	PK,0K,01,02,03	287	191	1.6	287	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
920	Wake County Schools	920328	Baucom Elementary	N	PK,0K,01,02,03,04,05	750	N/A	N/A	158	21.07	N	Not Title I	 	 		 	 	2016-2017
58B	Bear Grass Charter School	58B000	Bear Grass Charter School	Y	06,07,08,09,10,11,12	391	N/A	N/A	15	3.84	N	Not Title I	 	 		 	 	2016-2017
460	Hertford County Schools	460312	Bearfield Primary	N	PK,0K,01,02,03	787	551	1.6	787	100	Y	SW-SW	 	 		 	2006-2007	2016-2017
070	Beaufort County Schools	070311	Beaufort Co Early College High	N	09,10,11,12,13	221	72	1.6	115	52.04	N	SW	 	 		 	 	2016-2017
160	Carteret County Public Schools	160308	Beaufort Elementary	N	PK,0K,01,02,03,04,05	467	N/A	N/A	305	65.31	Y	SW-SW	 	 		 	2006-2007	2016-2017
